,,Name,Username,"Profile ID",Date,Likes,Comment,"Comment ID","Profile URL","Comment URL"
1,,axks_5,,61563418986,"2023-09-13 13:56:43",0,"good vid",17864173787962324,https://www.instagram.com/axks_5/,https://www.instagram.com/p/CxIiFIhPyMR/c/17864173787962324
2,,yakubauz,,1414271251,"2023-09-13 14:36:49",0,"Call it what it is , Melanin",17863548018000591,https://www.instagram.com/yakubauz/,https://www.instagram.com/p/CxIiFIhPyMR/c/17863548018000591
3,,karadzak,,4218992531,"2023-09-13 14:46:08",0,"It is how iz Nikola Tesla describe, iz is ethar or etar! The ether is considered a universal medium consisting of a primary substance, attenuated beyond conception, which fills all space and connects all matter. This medium, or field of force, is responsible for action at a distance—a concept where an object can interact with other objects even though they are separated in space",17998190048145497,https://www.instagram.com/karadzak/,https://www.instagram.com/p/CxIiFIhPyMR/c/17998190048145497
4,,official_jogan_,,2281775303,"2023-09-13 16:01:44",0,"science is fictional one day they will come up and say that “now a new research theory say” and boom whatever they said earlier will become 0",18110057824323016,https://www.instagram.com/official_jogan_/,https://www.instagram.com/p/CxIiFIhPyMR/c/18110057824323016
5,,eyeamafsana,,6853914325,"2023-09-13 16:42:17",0,"Different dimensions coexisting but cannot be seen.",18043335517509518,https://www.instagram.com/eyeamafsana/,https://www.instagram.com/p/CxIiFIhPyMR/c/18043335517509518
6,,davide.silverstein,,47387632870,"2023-09-13 17:13:59",0,"@official_jogan_ right.  I am sure the dark matter is Satan.",18390591643054261,https://www.instagram.com/davide.silverstein/,https://www.instagram.com/p/CxIiFIhPyMR/c/18390591643054261
7,,pink1111moon,,53385108781,"2023-09-13 22:37:36",0,"Scientist identified this force , the invisible 17th force of Quantum Physics, The Higgs Boson or God Particle in December 2012 when Earth went through the Galactic Centre in Sagitarrius A and Earth ascended into the fourth density.  This force is the unmanifest energy of the Supreme Person - God.",18227941882243871,https://www.instagram.com/pink1111moon/,https://www.instagram.com/p/CxIiFIhPyMR/c/18227941882243871
8,,hinasajid588,,49392398462,"2023-09-14 14:54:08",0,"@pink1111moon The article, “God particles in the perspective  of The AlQuran Surah Yunus: 61 and modern science,” appeared in the Journal of Physics: Conference Series, which in 2017 published submissions to the 2016 International Conference on Science and Applied Science (Engineering and Educational Science), held in Indonesia. It was authored by Sri Jumini, of the Physics Department Program of Sains AlQuran University in Java.
10: 61 Al Quran 
There is no activity you may be engaged in ˹O Prophet˺ or portion of the Quran you may be reciting, nor any deed you ˹all˺ may be doing except that We are a Witness over you while doing it. Not ˹even˺ an atom’s weight is hidden from your Lord on earth or in heaven; nor anything smaller or larger than that, but is ˹written˺ in a perfect Record.1",17965055930626375,https://www.instagram.com/hinasajid588/,https://www.instagram.com/p/CxIiFIhPyMR/c/17965055930626375
9,,mikael00008,,21181156394,"2023-09-14 15:01:10",0,"Only Islam can answer this. Allah is the only creator of Heavens and the Earth.",18098522131344883,https://www.instagram.com/mikael00008/,https://www.instagram.com/p/CxIiFIhPyMR/c/18098522131344883
10,,pink1111moon,,53385108781,"2023-09-15 04:19:45",0,"@hinasajid588 Love it!",18304032829138091,https://www.instagram.com/pink1111moon/,https://www.instagram.com/p/CxIiFIhPyMR/c/18304032829138091
11,,justjagg_i,,51258473541,"2023-09-15 09:47:15",0,"This force is called GOD",17939835923707845,https://www.instagram.com/justjagg_i/,https://www.instagram.com/p/CxIiFIhPyMR/c/17939835923707845
12,,lt1sickstixx,,8679963604,"2023-09-15 13:17:23",0,"I believe in the theory of dark matter. The whole thought behind it seems elementary",18000466549916667,https://www.instagram.com/lt1sickstixx/,https://www.instagram.com/p/CxIiFIhPyMR/c/18000466549916667
13,,danmihalache23,,36400888911,"2023-09-16 01:24:16",0,😮😮😮,17989176062110405,https://www.instagram.com/danmihalache23/,https://www.instagram.com/p/CxIiFIhPyMR/c/17989176062110405
14,,mikael00008,,21181156394,"2023-09-29 09:40:20",0,"@mikael00008 What people call the Big Bang now , it is already mentioned in the Holy Quran 1400 years ago.
Please read the Holy Quran , in Surah Anbiya Chapter 21 Verse No 30 "" Do not the disbelievers see that The heavens and the earth were joined together and we clove them asunder"".",17974745894359501,https://www.instagram.com/mikael00008/,https://www.instagram.com/p/CxIiFIhPyMR/c/17974745894359501
