,,Name,Username,"Profile ID",Date,Likes,Comment,"Comment ID","Profile URL","Comment URL"
1,,arturogalvarezofficial,,28414002,"2024-02-16 10:47:18",0,👏,17999474441234954,https://www.instagram.com/arturogalvarezofficial/,https://www.instagram.com/p/C3Z7r3otCWr/c/17999474441234954
2,,planetamails,,52272668683,"2024-02-16 11:34:42",0,👏,17887471376989947,https://www.instagram.com/planetamails/,https://www.instagram.com/p/C3Z7r3otCWr/c/17887471376989947
3,,rhensh98,,43979921622,"2024-02-16 12:44:48",0,"👍 Are new galaxies currently being created?",17997278600526247,https://www.instagram.com/rhensh98/,https://www.instagram.com/p/C3Z7r3otCWr/c/17997278600526247
4,,muchformuchness,,23939187,"2024-02-16 13:56:26",0,"The “uncomfortable situation” of not existing was the motivation for the theory is so funny to me. 🕳️🧎🏻",18007872344513132,https://www.instagram.com/muchformuchness/,https://www.instagram.com/p/C3Z7r3otCWr/c/18007872344513132
