,,Name,Username,"Profile ID",Date,Likes,Comment,"Comment ID","Profile URL","Comment URL"
1,,fequalls,,9380655105,"2020-01-08 22:31:47",0,"@mrtomwhiting And the astrophysicists can't stop God. 🤔😏👉✝️",17850094492802303,https://www.instagram.com/fequalls/,https://www.instagram.com/p/B7EmiAWn_Pu/c/17850094492802303
2,,chernoff.leslie,,27029638089,"2020-01-08 22:33:28",0,👏👏👏👏Fantastic😍😍😍❤️❤️,17875833697525828,https://www.instagram.com/chernoff.leslie/,https://www.instagram.com/p/B7EmiAWn_Pu/c/17875833697525828
3,,theozsahin,,9188574237,"2020-01-08 22:34:30",0,"@belteshazzar27 as i know, the predicted amount of normal matter in universe is way less than the required amount to keep galaxies together. This is why .they put a new variable into th equation. I dont know if dark matter is real or not",17919684352369910,https://www.instagram.com/theozsahin/,https://www.instagram.com/p/B7EmiAWn_Pu/c/17919684352369910
4,,williamcerny,,1191094296,"2020-01-08 22:48:26",0,"@tii.miiii I think a couple of your statements aren’t strictly correct. Advanced simulations have shown that the distribution of galaxies (and the universe’s large scale structure) depends on what model of dark matter is used. This suggests that dark matter causes these patterns, rather than the other way around.",18019917154250732,https://www.instagram.com/williamcerny/,https://www.instagram.com/p/B7EmiAWn_Pu/c/18019917154250732
5,,norsegryphon1,,2145025837,"2020-01-08 22:50:37",0,"Or it's a simple projection of 4th dimension physics on our 3rd dimensional plane.",18123943597051734,https://www.instagram.com/norsegryphon1/,https://www.instagram.com/p/B7EmiAWn_Pu/c/18123943597051734
6,,annasanjuis,,2030446605,"2020-01-08 22:58:30",0,"Mind blowing 🤯🤯🤯🤯🤯",17857910809719088,https://www.instagram.com/annasanjuis/,https://www.instagram.com/p/B7EmiAWn_Pu/c/17857910809719088
7,,kojikoji_by_kojima,,363458689,"2020-01-09 04:04:49",0,スゴ〜👍,17885192647473383,https://www.instagram.com/kojikoji_by_kojima/,https://www.instagram.com/p/B7EmiAWn_Pu/c/17885192647473383
8,,bmash55,,3972084355,"2020-01-09 04:27:10",0,"@nasahubble So those are the aliens? I sparknoted your post, it has MANY words. Should I lock my doors?",17850170719799760,https://www.instagram.com/bmash55/,https://www.instagram.com/p/B7EmiAWn_Pu/c/17850170719799760
9,,noflashproject,,4866538878,"2020-01-09 04:30:09",0,"Dudes are measuring the bend of light from 100.000 light years, and still some think earth is like a vinil...",17842762153913938,https://www.instagram.com/noflashproject/,https://www.instagram.com/p/B7EmiAWn_Pu/c/17842762153913938
10,,_chicaiza_bonilla_mercedes_,,5435746580,"2020-01-09 04:41:21",0,"Only one explanation... STAR WARS is real and this is the force",17851996555758143,https://www.instagram.com/_chicaiza_bonilla_mercedes_/,https://www.instagram.com/p/B7EmiAWn_Pu/c/17851996555758143
11,,_chicaiza_bonilla_mercedes_,,5435746580,"2020-01-09 04:42:27",0,"@fequalls big time OK BOOMER",17845736230881990,https://www.instagram.com/_chicaiza_bonilla_mercedes_/,https://www.instagram.com/p/B7EmiAWn_Pu/c/17845736230881990
12,,_chicaiza_bonilla_mercedes_,,5435746580,"2020-01-09 04:45:15",0,"@fequalls if god existed why is there so much scientific evidence of how the Earth was created and every current living thing but yet I don't remember ever seeing god anywhere but the Bible which keep in mind was wrote by who? During what time period? In what conditions?",17852104924780381,https://www.instagram.com/_chicaiza_bonilla_mercedes_/,https://www.instagram.com/p/B7EmiAWn_Pu/c/17852104924780381
13,,fequalls,,9380655105,"2020-01-09 04:45:24",0,"@gavin_waldo ""Señor Skinflake, Mr. Tinkleface, and a lamp post... Oh my stars! Barney the dinosaur is actually from my face soooo.... Hot Garbage! 🤣🤣🤣",18088654363091022,https://www.instagram.com/fequalls/,https://www.instagram.com/p/B7EmiAWn_Pu/c/18088654363091022
14,,_chicaiza_bonilla_mercedes_,,5435746580,"2020-01-09 04:52:43",0,"@fequalls me: plays reverse card",17855226697737052,https://www.instagram.com/_chicaiza_bonilla_mercedes_/,https://www.instagram.com/p/B7EmiAWn_Pu/c/17855226697737052
15,,fequalls,,9380655105,"2020-01-09 04:54:25",0,"@gavin_waldo Haha, well done... ""No you"" card! 🤣👍😏😂",17873271862537821,https://www.instagram.com/fequalls/,https://www.instagram.com/p/B7EmiAWn_Pu/c/17873271862537821
16,,virgnusjr,,1563010606,"2020-01-09 05:00:59",0,"@mrtomwhiting my theory is thunderfull to the ground ⚡️👁⚡️",18089277013141078,https://www.instagram.com/virgnusjr/,https://www.instagram.com/p/B7EmiAWn_Pu/c/18089277013141078
17,,tim.knudsen.75,,23780556352,"2020-01-09 05:05:14",0,🤯✨💫😮❤️,18081120502157046,https://www.instagram.com/tim.knudsen.75/,https://www.instagram.com/p/B7EmiAWn_Pu/c/18081120502157046
18,,graysonboger,,511968721,"2020-01-09 05:06:52",0,"@gory__greg my question as well",17857886068722202,https://www.instagram.com/graysonboger/,https://www.instagram.com/p/B7EmiAWn_Pu/c/17857886068722202
19,,farokh_a_m_,,3032558979,"2020-01-09 05:42:29",0,"Thank you.",18084909649192528,https://www.instagram.com/farokh_a_m_/,https://www.instagram.com/p/B7EmiAWn_Pu/c/18084909649192528
20,,emreeaks0y,,2460782194,"2020-01-09 05:54:37",0,"Is that pennywise ?",18112209916079272,https://www.instagram.com/emreeaks0y/,https://www.instagram.com/p/B7EmiAWn_Pu/c/18112209916079272
21,,rachelweber_87,,14579865812,"2020-01-09 05:55:04",0,"@dr_ademar_jr olha q legal!!!",17847447301865171,https://www.instagram.com/rachelweber_87/,https://www.instagram.com/p/B7EmiAWn_Pu/c/17847447301865171
22,,bernadette9234,,3439368622,"2020-01-09 06:17:39",0,"Bottom middle looks like gallbladder stones. LOL",17852273656776928,https://www.instagram.com/bernadette9234/,https://www.instagram.com/p/B7EmiAWn_Pu/c/17852273656776928
23,,levs_jeans,,2274463533,"2020-01-09 06:18:32",0,"@fequalls problem The idea of god, and dark matter do not relate at all. This is because dark matter is a proven thing. God unfortunately isn't (yet).",17867830489585138,https://www.instagram.com/levs_jeans/,https://www.instagram.com/p/B7EmiAWn_Pu/c/17867830489585138
24,,gustavoagarciaa,,9387596684,"2020-01-09 06:19:08",0,😮🤯🤟,18123046360047036,https://www.instagram.com/gustavoagarciaa/,https://www.instagram.com/p/B7EmiAWn_Pu/c/18123046360047036
25,,yasmeen5sos,,4577053229,"2020-01-09 06:57:31",0,"Look like the dead lights from It",17854160935741296,https://www.instagram.com/yasmeen5sos/,https://www.instagram.com/p/B7EmiAWn_Pu/c/17854160935741296
26,,claudiaducat,,13485268870,"2020-01-09 07:02:23",0,👌👏👍,17911655704375862,https://www.instagram.com/claudiaducat/,https://www.instagram.com/p/B7EmiAWn_Pu/c/17911655704375862
27,,jefwoot,,208461183,"2020-01-09 07:06:20",0,"@mrtomwhiting and it's fuel for alien space crafts..thus Bob Lazar 👽🤣",18122696389016814,https://www.instagram.com/jefwoot/,https://www.instagram.com/p/B7EmiAWn_Pu/c/18122696389016814
28,,mrtomwhiting,,610898132,"2020-01-09 07:40:45",0,"@lyzkov what?",17871571069546306,https://www.instagram.com/mrtomwhiting/,https://www.instagram.com/p/B7EmiAWn_Pu/c/17871571069546306
29,,sanjula97,,1598450950,"2020-01-09 07:44:52",0,❤️,17867422498587338,https://www.instagram.com/sanjula97/,https://www.instagram.com/p/B7EmiAWn_Pu/c/17867422498587338
30,,michelmouran,,17819915318,"2020-01-09 07:56:02",0,"😍😍Magnificent pictures ❤️❤️",18033010798243677,https://www.instagram.com/michelmouran/,https://www.instagram.com/p/B7EmiAWn_Pu/c/18033010798243677
31,,hossein.ltii1370,,19750857535,"2020-01-09 08:08:09",0,😍😍😍😍,17873266543535838,https://www.instagram.com/hossein.ltii1370/,https://www.instagram.com/p/B7EmiAWn_Pu/c/17873266543535838
32,,sandi_vinson_bromberger,,1722562665,"2020-01-09 08:11:10",0,Amazing,18101653753108139,https://www.instagram.com/sandi_vinson_bromberger/,https://www.instagram.com/p/B7EmiAWn_Pu/c/18101653753108139
33,,d.henderson0,,12130945408,"2020-01-09 09:56:16",0,"That is so cool. We need more space telescopes and coordinate their data at the same time if possible. 6 directions should do to start with. 😉 😇 😈",17872242382558865,https://www.instagram.com/d.henderson0/,https://www.instagram.com/p/B7EmiAWn_Pu/c/17872242382558865
34,,gaia.taylor8,,7195192868,"2020-01-09 10:25:40",0,"They seems like they video action when you switch on the ps2😂 althought...so interesting, I'm really curious🔥",18072146173170254,https://www.instagram.com/gaia.taylor8/,https://www.instagram.com/p/B7EmiAWn_Pu/c/18072146173170254
35,,salman_saif,,258975066,"2020-01-09 11:51:56",0,"Wooow 😍",18122882548006033,https://www.instagram.com/salman_saif/,https://www.instagram.com/p/B7EmiAWn_Pu/c/18122882548006033
36,,adambondar,,285446222,"2020-01-09 12:00:47",0,"@joshusp good advice 🇦🇱",17899007365425883,https://www.instagram.com/adambondar/,https://www.instagram.com/p/B7EmiAWn_Pu/c/17899007365425883
