,,Name,Username,"Profile ID",Date,Likes,Comment,"Comment ID","Profile URL","Comment URL"
1,,lavce17,,6268368822,"2022-05-30 15:18:01",0,"Looks can be deceiving",17931337589248233,https://www.instagram.com/lavce17/,https://www.instagram.com/p/CeL9PoqDF4E/c/17931337589248233
2,,felix__andres,,387418100,"2022-05-30 15:22:17",0,"Idw be that guy but didn’t we already know this is basically what it looked like before?",17984134705511861,https://www.instagram.com/felix__andres/,https://www.instagram.com/p/CeL9PoqDF4E/c/17984134705511861
3,,simjanoski_g,,3457292380,"2022-05-30 15:43:54",0,"It's all connected ....",17965832110648933,https://www.instagram.com/simjanoski_g/,https://www.instagram.com/p/CeL9PoqDF4E/c/17965832110648933
4,,voidedg.official,,48176613082,"2022-05-30 15:55:19",0,"@felixthe_tiger it's what it might look like, there's still no way of detecting it so we can say for sure.",18299860297015617,https://www.instagram.com/voidedg.official/,https://www.instagram.com/p/CeL9PoqDF4E/c/18299860297015617
5,,mushkarski66,,265492991,"2022-05-30 16:06:28",0,🔥🔥,17906872022568309,https://www.instagram.com/mushkarski66/,https://www.instagram.com/p/CeL9PoqDF4E/c/17906872022568309
6,,dorian_irimia,,285038744,"2022-05-30 16:27:51",0,"looks like fungus under microscope lol",17945924086891715,https://www.instagram.com/dorian_irimia/,https://www.instagram.com/p/CeL9PoqDF4E/c/17945924086891715
7,,matias_vidalp,,46527595661,"2022-05-30 17:52:33",0,"Dark…looking dark…that’s nice, science, for DARK matter",18026794516374541,https://www.instagram.com/matias_vidalp/,https://www.instagram.com/p/CeL9PoqDF4E/c/18026794516374541
8,,michael_peaches_ephrem,,1573155132,"2022-05-30 19:16:09",0,"And the light shineth in darkness; and the darkness comprehended it not. 
John 1:5 kjv",17962206340731781,https://www.instagram.com/michael_peaches_ephrem/,https://www.instagram.com/p/CeL9PoqDF4E/c/17962206340731781
9,,arjunn_singh_official,,1328060839,"2022-05-30 20:57:21",0,"Don't know but looks more like someone's neurons .... Who knows we are under some giant entity may be inside god",18037087411354786,https://www.instagram.com/arjunn_singh_official/,https://www.instagram.com/p/CeL9PoqDF4E/c/18037087411354786
10,,winged_starhorn,,51029401777,"2022-05-30 22:17:40",0,"Not trying to be pessimistic but, i don't that's what it'd look like",17933581211276750,https://www.instagram.com/winged_starhorn/,https://www.instagram.com/p/CeL9PoqDF4E/c/17933581211276750
11,,xxmarjohn017,,52439498489,"2022-05-30 22:48:19",0,"Stranger Things 😮😮😮",17954074663855392,https://www.instagram.com/xxmarjohn017/,https://www.instagram.com/p/CeL9PoqDF4E/c/17954074663855392
12,,nackte.schnecke,,11382766837,"2022-06-01 06:09:00",0,"Hairy legs?",17899269428616836,https://www.instagram.com/nackte.schnecke/,https://www.instagram.com/p/CeL9PoqDF4E/c/17899269428616836
