,,Name,Username,"Profile ID",Date,Likes,Comment,"Comment ID","Profile URL","Comment URL"
1,,chadtiner,,5959243774,"2020-05-11 17:17:46",0,"if light can’t travel through dimensions could sound waves?",17890847464519802,https://www.instagram.com/chadtiner/,https://www.instagram.com/p/CADh_XwHvfe/c/17890847464519802
2,,questforfire2,,6422139434,"2020-05-11 17:47:10",0,"Light travels across dimensions our telescopes are limited.",17851702358045116,https://www.instagram.com/questforfire2/,https://www.instagram.com/p/CADh_XwHvfe/c/17851702358045116
3,,questforfire2,,6422139434,"2020-05-11 17:48:34",0,"Dark matter are axions. Smaller lighter than a photon light just passes right by with no bounce.",17872910644711764,https://www.instagram.com/questforfire2/,https://www.instagram.com/p/CADh_XwHvfe/c/17872910644711764
4,,darshilkharat,,7344616762,"2020-05-11 17:54:45",0,👏👏👏,17887376950559401,https://www.instagram.com/darshilkharat/,https://www.instagram.com/p/CADh_XwHvfe/c/17887376950559401
5,,vohidov.d.d,,2374446238,"2020-05-11 18:05:41",0,"i just can't think of more than three dimensions exsisting",17951979532334502,https://www.instagram.com/vohidov.d.d/,https://www.instagram.com/p/CADh_XwHvfe/c/17951979532334502
6,,geo_neo9.144,,1586421399,"2020-05-11 18:42:34",0,"Everything is light so time to know more.",17922528010397276,https://www.instagram.com/geo_neo9.144/,https://www.instagram.com/p/CADh_XwHvfe/c/17922528010397276
7,,geo_neo9.144,,1586421399,"2020-05-11 18:43:27",0,"@chadtiner they miss a lot of things here. Dark matter and energy is the foundation the light to be stable. Yin-yang.",17862070672876409,https://www.instagram.com/geo_neo9.144/,https://www.instagram.com/p/CADh_XwHvfe/c/17862070672876409
8,,geo_neo9.144,,1586421399,"2020-05-11 18:43:59",0,"@chadtiner for",17851246130033149,https://www.instagram.com/geo_neo9.144/,https://www.instagram.com/p/CADh_XwHvfe/c/17851246130033149
9,,patriksydanmetsa,,2793037912,"2020-05-11 18:44:06",0,@juho_vaaan,17940110536360299,https://www.instagram.com/patriksydanmetsa/,https://www.instagram.com/p/CADh_XwHvfe/c/17940110536360299
10,,jcrosby95,,5784232307,"2020-05-11 20:01:41",0,"@geo_neo9.144 you miss a bit here. Dark matter is not the foundation of light, charged particles are. Energy just happens to be exactly what photons are",17859720916894290,https://www.instagram.com/jcrosby95/,https://www.instagram.com/p/CADh_XwHvfe/c/17859720916894290
