,,"Unique ID","Name ",Date,Likes,Comment,"Profile ID","Author URL","Comment URL"
1,,comictreader,"Alec Landoni","2021-08-05 07:13:18",2,Hello,6886488017020994566,https://www.tiktok.com/share/user/6886488017020994566,https://www.tiktok.com/@comictreader/video/6992840181493615878?comment_id=6992840654666220294
2,,danny13ts0,danny13ts0,"2021-08-05 07:14:48",1,"next time u should talk about who kinda founded quantum physics",6798375856890430470,https://www.tiktok.com/share/user/6798375856890430470,https://www.tiktok.com/@danny13ts0/video/6992840181493615878?comment_id=6992841043549504261
3,,wype_appa,jk,"2021-08-05 07:15:32",38,"crazy that we can all do that from a chair in a office 🤯",6777580865515848710,https://www.tiktok.com/share/user/6777580865515848710,https://www.tiktok.com/@wype_appa/video/6992840181493615878?comment_id=6992841229625606917
4,,khamari.b1024,kmart,"2021-08-05 07:16:47",1,early,6737128819037291525,https://www.tiktok.com/share/user/6737128819037291525,https://www.tiktok.com/@khamari.b1024/video/6992840181493615878?comment_id=6992841552565895942
5,,ethan.pork,polaris,"2021-08-05 07:20:51",1,🌽,6636216545424244741,https://www.tiktok.com/share/user/6636216545424244741,https://www.tiktok.com/@ethan.pork/video/6992840181493615878?comment_id=6992842600550679301
6,,hey_its_average,"Avg 📸","2021-08-05 07:49:12",80,"I was so interested even tho I had no clue what u were saying",6852227099035583494,https://www.tiktok.com/share/user/6852227099035583494,https://www.tiktok.com/@hey_its_average/video/6992840181493615878?comment_id=6992849906411045634
7,,aaronfranks5,"Aaron Franks","2021-08-05 07:49:36",57,"Call of duty 🤪",6769173515360797701,https://www.tiktok.com/share/user/6769173515360797701,https://www.tiktok.com/@aaronfranks5/video/6992840181493615878?comment_id=6992850006303245061
8,,uggjigii,.,"2021-08-05 07:52:18",2,Flash,6982840616913470470,https://www.tiktok.com/share/user/6982840616913470470,https://www.tiktok.com/@uggjigii/video/6992840181493615878?comment_id=6992850709939290885
9,,mewingsteam,Midas,"2021-08-05 07:52:37",0,ok,6759866208118178821,https://www.tiktok.com/share/user/6759866208118178821,https://www.tiktok.com/@mewingsteam/video/6992840181493615878?comment_id=6992850793065923333
10,,jhondeybigl,Jhon,"2021-08-05 07:55:13",1,"Now with antimatter",6778306982279267333,https://www.tiktok.com/share/user/6778306982279267333,https://www.tiktok.com/@jhondeybigl/video/6992840181493615878?comment_id=6992851456588366598
11,,michaelgerges27,"Michael Gerges918","2021-08-05 07:55:16",2,"How can we be sure that the gravitational constant is universal and not affected by local stuff that we don’t know about?",6909231394485945349,https://www.tiktok.com/share/user/6909231394485945349,https://www.tiktok.com/@michaelgerges27/video/6992840181493615878?comment_id=6992851468219089669
12,,_ethan629,Ethan,"2021-08-05 08:25:31",2,"It was discovered when somebody got gold for all guns 🥱",6807820002927772677,https://www.tiktok.com/share/user/6807820002927772677,https://www.tiktok.com/@_ethan629/video/6992840181493615878?comment_id=6992859260393128710
13,,sgkelembai,amirayub,"2021-08-05 08:57:08",0,"are this dark matter is around us",6786652149730362369,https://www.tiktok.com/share/user/6786652149730362369,https://www.tiktok.com/@sgkelembai/video/6992840181493615878?comment_id=6992867418649395994
