,,"Unique ID","Name ",Date,Likes,Comment,"Profile ID","Author URL","Comment URL"
1,,thephysicshouse,"The Physics House","2021-07-23 07:11:52",151,"Let’s hope dark matter will interact with these noble gases",6850709574464095238,https://www.tiktok.com/share/user/6850709574464095238,https://www.tiktok.com/@thephysicshouse/video/6988015970237435141?comment_id=6988016186487735046
2,,your__local__idiot1,"Chris Quezada","2021-07-23 07:13:26",2,"imagine using dark matter as a nuke 😳",6811754987728815106,https://www.tiktok.com/share/user/6811754987728815106,https://www.tiktok.com/@your__local__idiot1/video/6988015970237435141?comment_id=6988016590499562246
3,,literallybatman_gotham,batman,"2021-07-23 07:13:32",1,"pretty epic is correct",6584400556754812934,https://www.tiktok.com/share/user/6584400556754812934,https://www.tiktok.com/@literallybatman_gotham/video/6988015970237435141?comment_id=6988016619226268421
4,,imwaffly,Waffly,"2021-07-23 07:14:14",3,"Yeah I totally know what you just said🙄",6968304042561160198,https://www.tiktok.com/share/user/6968304042561160198,https://www.tiktok.com/@imwaffly/video/6988015970237435141?comment_id=6988016802437579525
5,,msesofian,"MSE -SOFIAN","2021-07-23 07:31:13",115,"can you keep us updated if they find anything",6831343245282509829,https://www.tiktok.com/share/user/6831343245282509829,https://www.tiktok.com/@msesofian/video/6988015970237435141?comment_id=6988021157971084034
6,,imthedady,"the dady","2021-07-23 07:49:55",3,"when we look into the universe we see all the same elements we find on earth where ever we look.if dark matter was real would we not see ut on earth",6532391084718686209,https://www.tiktok.com/share/user/6532391084718686209,https://www.tiktok.com/@imthedady/video/6988015970237435141?comment_id=6988025990400623365
7,,moeeeeeee.e,Moe,"2021-07-23 07:50:05",1,"helloooo phy > math😏",6875768698139231237,https://www.tiktok.com/share/user/6875768698139231237,https://www.tiktok.com/@moeeeeeee.e/video/6988015970237435141?comment_id=6988026033077240578
8,,khamakazii_gotbannedlmao,🥱,"2021-07-23 07:50:33",2,"I just use a unlock all tool 🤷‍♂️",6810836399013921798,https://www.tiktok.com/share/user/6810836399013921798,https://www.tiktok.com/@khamakazii_gotbannedlmao/video/6988015970237435141?comment_id=6988026147775316741
9,,johnreano,"Quiel Reaño","2021-07-23 07:52:25",7,"what's the purpose of dark matter?",6557832770218950658,https://www.tiktok.com/share/user/6557832770218950658,https://www.tiktok.com/@johnreano/video/6988015970237435141?comment_id=6988026624168362753
10,,mrsaliba,henry.saliba,"2021-07-23 07:54:27",11,"How does dark matter benefit us?",6671136820661452805,https://www.tiktok.com/share/user/6671136820661452805,https://www.tiktok.com/@mrsaliba/video/6988015970237435141?comment_id=6988027151350334209
11,,a_reyes_30,Alejandro_R,"2021-07-23 07:57:50",0,"Is it like a complex Wilson chamber and a Photon detector?",6836767202054505477,https://www.tiktok.com/share/user/6836767202054505477,https://www.tiktok.com/@a_reyes_30/video/6988015970237435141?comment_id=6988028027310064389
12,,frnkst,"Frank :) 🗣️🗣️‼️‼️","2021-07-23 08:05:52",0,"Aren’t the noble gases inert or does that just mean in ionic terms?",6756255182336820229,https://www.tiktok.com/share/user/6756255182336820229,https://www.tiktok.com/@frnkst/video/6988015970237435141?comment_id=6988030094971814661
13,,_dude.xyz,_𝚍𝚞𝚍𝚎.𝚡𝚢𝚣,"2021-07-23 08:16:54",4,"are you left handed??",6965069310500045830,https://www.tiktok.com/share/user/6965069310500045830,https://www.tiktok.com/@_dude.xyz/video/6988015970237435141?comment_id=6988032943470297861
14,,menelaos12345678910,menelaos12345678910,"2021-07-23 08:26:38",0,@_morax_10,6824516316097152005,https://www.tiktok.com/share/user/6824516316097152005,https://www.tiktok.com/@menelaos12345678910/video/6988015970237435141?comment_id=6988035458978743045
15,,truebogdan,"True Bogdan","2021-07-23 08:56:59",1,"so if this doesnt work then dark matter doesn't exist at all right ?",6745127716359668742,https://www.tiktok.com/share/user/6745127716359668742,https://www.tiktok.com/@truebogdan/video/6988015970237435141?comment_id=6988043266671657733
16,,nobelski,nobelski🇦🇱,"2021-07-23 08:57:01",1,"my gasses",6970797888603784198,https://www.tiktok.com/share/user/6970797888603784198,https://www.tiktok.com/@nobelski/video/6988015970237435141?comment_id=6988043279561114374
17,,isaac_.woo,Isaac,"2021-07-23 09:10:03",17,"i already got dark matter",6788308946991039494,https://www.tiktok.com/share/user/6788308946991039494,https://www.tiktok.com/@isaac_.woo/video/6988015970237435141?comment_id=6988046643245810438
18,,k14003,k,"2021-07-23 09:10:37",1,"can't wait till me find an event. I also can't wait till the dark energy survey is released as well",6759876130167817222,https://www.tiktok.com/share/user/6759876130167817222,https://www.tiktok.com/@k14003/video/6988015970237435141?comment_id=6988046788846863110
19,,ethan.pork,polaris,"2021-07-23 09:17:49",0,🌽,6636216545424244741,https://www.tiktok.com/share/user/6636216545424244741,https://www.tiktok.com/@ethan.pork/video/6988015970237435141?comment_id=6988048643454829318
20,,alanboo4,"Alan Boo","2021-07-23 09:26:07",0,@_animeboy__,6682774971947467782,https://www.tiktok.com/share/user/6682774971947467782,https://www.tiktok.com/@alanboo4/video/6988015970237435141?comment_id=6988050790048973574
21,,_rico_c,"Rico Castelnuovo","2021-07-23 09:51:10",1,"Huh always thought dark matter didnt interact with standard matter or is that anti matter",6833466747833844741,https://www.tiktok.com/share/user/6833466747833844741,https://www.tiktok.com/@_rico_c/video/6988015970237435141?comment_id=6988057242255835909
22,,ilobwyu,qp,"2021-07-23 10:06:27",1,"y are they trying to find dark matter",6889023685760893954,https://www.tiktok.com/share/user/6889023685760893954,https://www.tiktok.com/@ilobwyu/video/6988015970237435141?comment_id=6988061158184387355
23,,dikkedikkegans,dikke,"2021-07-23 10:22:47",0,"Isn’t helium gonna run out soon just like oil?",6764105874098095110,https://www.tiktok.com/share/user/6764105874098095110,https://www.tiktok.com/@dikkedikkegans/video/6988015970237435141?comment_id=6988065390085604102
24,,zk2906,Zain,"2021-07-23 10:47:39",4,"I’ve already got it on my guns",6790778604151178245,https://www.tiktok.com/share/user/6790778604151178245,https://www.tiktok.com/@zk2906/video/6988015970237435141?comment_id=6988071790518584069
25,,thomas.bertho0,thomas,"2021-07-23 10:54:16",2,"What is dark matter and would we be able to contain it",6620455017978707974,https://www.tiktok.com/share/user/6620455017978707974,https://www.tiktok.com/@thomas.bertho0/video/6988015970237435141?comment_id=6988073495532569345
26,,toothdecaydonut_19,Mohammed,"2021-07-23 11:20:48",1,@garyxspondgebob,6666115756243877894,https://www.tiktok.com/share/user/6666115756243877894,https://www.tiktok.com/@toothdecaydonut_19/video/6988015970237435141?comment_id=6988080334252589825
27,,.ysf3,y,"2021-07-23 11:48:53",1,"@ryan.curtis1999 try not to put a voice over I think it would be better, and because when it's not syncing I be confused af 🥲",6803083816351482885,https://www.tiktok.com/share/user/6803083816351482885,https://www.tiktok.com/@.ysf3/video/6988015970237435141?comment_id=6988087577173705474
28,,just_a_guy87,"Just a guy","2021-07-23 12:17:57",1,"So cool, the school will make this boring",6721640035357443077,https://www.tiktok.com/share/user/6721640035357443077,https://www.tiktok.com/@just_a_guy87/video/6988015970237435141?comment_id=6988095070457348869
29,,popers_are_yummy,"Lee watts","2021-07-23 12:18:41",1,"haha idiot scientists i have it on my weapons on cod",6756459302914245638,https://www.tiktok.com/share/user/6756459302914245638,https://www.tiktok.com/@popers_are_yummy/video/6988015970237435141?comment_id=6988095255795565318
30,,daniel._.1210,._.,"2021-07-23 12:22:59",1,"I understood nothing.",6893842341682693121,https://www.tiktok.com/share/user/6893842341682693121,https://www.tiktok.com/@daniel._.1210/video/6988015970237435141?comment_id=6988096364458820358
31,,beefybeens,BeefyBeens,"2021-07-23 12:33:26",1,"@i.am.the.reverse.flash stole it from cod",6774096920995693573,https://www.tiktok.com/share/user/6774096920995693573,https://www.tiktok.com/@beefybeens/video/6988015970237435141?comment_id=6988099060616315653
32,,asta845,Sora,"2021-07-23 12:33:44",1,"they dumb just get every gold gun",6853448700069692422,https://www.tiktok.com/share/user/6853448700069692422,https://www.tiktok.com/@asta845/video/6988015970237435141?comment_id=6988099138470691590
33,,adrian.mckay,adrian,"2021-07-23 12:33:53",1,"My team players: 💳💥💳💥💳💥💳💥",6944308132340401153,https://www.tiktok.com/share/user/6944308132340401153,https://www.tiktok.com/@adrian.mckay/video/6988015970237435141?comment_id=6988099163829666562
34,,drinkingboron,boron,"2021-07-23 12:37:40",2,"highschool? more like early middle school",6913890159769519106,https://www.tiktok.com/share/user/6913890159769519106,https://www.tiktok.com/@drinkingboron/video/6988015970237435141?comment_id=6988100152703648518
35,,kasx12,KAS,"2021-07-23 12:40:02",2,"Time to make a particle accelerator and become (or make) the Flash",6891123345204052997,https://www.tiktok.com/share/user/6891123345204052997,https://www.tiktok.com/@kasx12/video/6988015970237435141?comment_id=6988100757380317957
36,,antonissexxy,Tissefant,"2021-07-23 12:40:37",6,"So i can Get dark matter on my wepons now😳😏",6643396561945231366,https://www.tiktok.com/share/user/6643396561945231366,https://www.tiktok.com/@antonissexxy/video/6988015970237435141?comment_id=6988100908568167174
37,,..jesse,jesse,"2021-07-23 12:42:54",85,"just get diamond for weapons",6805294465190102022,https://www.tiktok.com/share/user/6805294465190102022,https://www.tiktok.com/@..jesse/video/6988015970237435141?comment_id=6988101505026933510
38,,theone_ah,"The one","2021-07-23 12:45:21",0,"So how long dose it take to get dark matter and what are the challenges",6896459479660430342,https://www.tiktok.com/share/user/6896459479660430342,https://www.tiktok.com/@theone_ah/video/6988015970237435141?comment_id=6988102127550464773
39,,haci420,.,"2021-07-23 12:47:29",0,@theunfoldedsoul,6743649991372489733,https://www.tiktok.com/share/user/6743649991372489733,https://www.tiktok.com/@haci420/video/6988015970237435141?comment_id=6988102676781941509
40,,joshuaveliz07,Joshua,"2021-07-23 12:53:40",2,"I learned this in 7th grade 😎",6768226653086745605,https://www.tiktok.com/share/user/6768226653086745605,https://www.tiktok.com/@joshuaveliz07/video/6988015970237435141?comment_id=6988104274492867333
