,,"Unique ID","Name ",Date,Likes,Comment,"Profile ID","Author URL","Comment URL"
1,,yano.grich,Ďžony,"2022-11-14 15:04:41",713,"are you saying you aren't made of normal matter",6803068606302536710,https://www.tiktok.com/share/user/6803068606302536710,https://www.tiktok.com/@yano.grich/video/7165886326691073282?comment_id=7165887784090649350
2,,janmanbezkity,2fat2carry,"2022-11-14 15:05:29",154,"today my teacher said its 78%. Someone is lying",6826606705838752774,https://www.tiktok.com/share/user/6826606705838752774,https://www.tiktok.com/@janmanbezkity/video/7165886326691073282?comment_id=7165887960260068101
3,,looking.for.driann,𝒂,"2022-11-14 15:05:41",41,"if things keep going like this i might have to step in",7002762854182126597,https://www.tiktok.com/share/user/7002762854182126597,https://www.tiktok.com/@looking.for.driann/video/7165886326691073282?comment_id=7165888011342365445
4,,gpap___,gpap,"2022-11-14 15:08:03",53,"i just solved it....where is my nobel",6835336919296443398,https://www.tiktok.com/share/user/6835336919296443398,https://www.tiktok.com/@gpap___/video/7165886326691073282?comment_id=7165888595546669829
5,,89iq7,89iq,"2022-11-14 15:09:15",13,"I solved it whats next",6969233416135721989,https://www.tiktok.com/share/user/6969233416135721989,https://www.tiktok.com/@89iq7/video/7165886326691073282?comment_id=7165888681400042242
6,,lifeofmrchicken,"Life of Mr Chicken","2022-11-14 15:14:01",1669,"It’s because the simulation is still loading lol stuck at 4%",7149184236279546885,https://www.tiktok.com/share/user/7149184236279546885,https://www.tiktok.com/@lifeofmrchicken/video/7165886326691073282?comment_id=7165889926026068738
7,,bushywx,BushyWX,"2022-11-14 15:14:25",642,"I already solved it i just haven't told anybody yet actually",6908402849282917382,https://www.tiktok.com/share/user/6908402849282917382,https://www.tiktok.com/@bushywx/video/7165886326691073282?comment_id=7165890253399720709
8,,chrhstakhs,chris🇬🇷,"2022-11-14 15:16:58",45,"Since the universe is infinite, how can you say 96% is missing? You can't devide infinite.... right?",6859347308686492674,https://www.tiktok.com/share/user/6859347308686492674,https://www.tiktok.com/@chrhstakhs/video/7165886326691073282?comment_id=7165890911233819397
9,,.that_one.random.guy_,idgaf,"2022-11-14 15:21:25",23,"The answer is x. I found it!! If you wanna know what the answer is, solve for x",7004793834337207302,https://www.tiktok.com/share/user/7004793834337207302,https://www.tiktok.com/@.that_one.random.guy_/video/7165886326691073282?comment_id=7165892100427563782
10,,thelegend565,tyrone,"2022-11-14 15:22:50",2,"I think jamal stole it",6906474711326196738,https://www.tiktok.com/share/user/6906474711326196738,https://www.tiktok.com/@thelegend565/video/7165886326691073282?comment_id=7165892480742081307
