,,"Unique ID","Name ",Date,Likes,Comment,"Profile ID","Author URL","Comment URL"
1,,ooak00,Donaven,"2022-10-02 23:25:32",139,"It’s the force not dark matter get over it 😂😂",6861385563908441093,https://www.tiktok.com/share/user/6861385563908441093,https://www.tiktok.com/@ooak00/video/7150050199778676014?comment_id=7150060220390196011
2,,unyphi,UnyPhi,"2022-10-02 23:27:21",1,"E8-Lee groups",6662473198712668166,https://www.tiktok.com/share/user/6662473198712668166,https://www.tiktok.com/@unyphi/video/7150050199778676014?comment_id=7150060654516077358
3,,manbearpig_im_serial,Manbearpig,"2022-10-02 23:47:02",5,"Maybe dark matter in the mass from matter of other dimensions. If gravity somehow bleeds to & from other dementions that's why its so weak",6831007489603273734,https://www.tiktok.com/share/user/6831007489603273734,https://www.tiktok.com/@manbearpig_im_serial/video/7150050199778676014?comment_id=7150065734689047339
4,,chuuckaduuck,Chuuckaduuck,"2022-10-02 23:50:11",1,@Issac,6627142208612073477,https://www.tiktok.com/share/user/6627142208612073477,https://www.tiktok.com/@chuuckaduuck/video/7150050199778676014?comment_id=7150066558382080811
5,,chuuckaduuck,Chuuckaduuck,"2022-10-02 23:52:41",9,"Potatoes and Beyoncé???😂😂😂😂",6627142208612073477,https://www.tiktok.com/share/user/6627142208612073477,https://www.tiktok.com/@chuuckaduuck/video/7150050199778676014?comment_id=7150067197993124651
6,,timothyjanowski,Scott,"2022-10-03 00:03:06",1,"Man will never figure it out. God created this world and Everything in it and outside of it. It is beyond our understanding and always will be.",7058731117402883118,https://www.tiktok.com/share/user/7058731117402883118,https://www.tiktok.com/@timothyjanowski/video/7150050199778676014?comment_id=7150069869401097006
7,,mrs.sellner,"mrs sellner","2022-10-03 00:29:37",20,"what if the sharp stabby pains in our b-holes are dark matter being detected??",6814646542905918470,https://www.tiktok.com/share/user/6814646542905918470,https://www.tiktok.com/@mrs.sellner/video/7150050199778676014?comment_id=7150076730278413102
8,,snatchbuckler,SnatchBuckler,"2022-10-03 00:39:28",43,"i love how we can't figure everything out even though i really wanna know",6816182941895803910,https://www.tiktok.com/share/user/6816182941895803910,https://www.tiktok.com/@snatchbuckler/video/7150050199778676014?comment_id=7150079266728854314
9,,dojo._1,Dojo._1,"2022-10-03 00:50:30",2,"@James Beacham Good to see you again but miss your channel since March.",6946312790971286533,https://www.tiktok.com/share/user/6946312790971286533,https://www.tiktok.com/@dojo._1/video/7150050199778676014?comment_id=7150082109679731502
10,,youtubeaccount711,youtubeaccount711,"2022-10-03 01:22:18",0,"Because it’s made up",7129307662440793130,https://www.tiktok.com/share/user/7129307662440793130,https://www.tiktok.com/@youtubeaccount711/video/7150050199778676014?comment_id=7150090287613412142
11,,swolecowsthecuddliest,"Swolecows The Cuddli","2022-10-03 03:23:11",0,"Or... And hear me out... Your math is off a Dark Matter doesn't exist",6867033966063928325,https://www.tiktok.com/share/user/6867033966063928325,https://www.tiktok.com/@swolecowsthecuddliest/video/7150050199778676014?comment_id=7150121425496818478
12,,mikecoolkid00,M,"2022-10-03 04:04:12",23,"I need more of this all day. YouTube channel?",6809356484835017734,https://www.tiktok.com/share/user/6809356484835017734,https://www.tiktok.com/@mikecoolkid00/video/7150050199778676014?comment_id=7150132006596035374
13,,ranma_2021,"Chili dog gone bad","2022-10-03 04:24:36",18,"it doesn't have to be a particle. it could be an element, a force, or anything else.",6767525223061472262,https://www.tiktok.com/share/user/6767525223061472262,https://www.tiktok.com/@ranma_2021/video/7150050199778676014?comment_id=7150137210301891370
