,,"Unique ID","Name ",Date,Likes,Comment,"Profile ID","Author URL","Comment URL"
1,,uptownsnail,Isabella,"2021-02-11 21:02:33",14,"Lemme just take a seat and watch while this goes viral",6740458381600162822,https://www.tiktok.com/share/user/6740458381600162822,https://www.tiktok.com/@uptownsnail/video/6928113689274977542?comment_id=6928114468136222726
2,,blakep270,"Blake Proctor","2021-02-11 21:03:32",1,"Isaac Arthur just put up a great video on this concept on YouTube. Great for people who only casually understand science!",6884633106080023557,https://www.tiktok.com/share/user/6884633106080023557,https://www.tiktok.com/@blakep270/video/6928113689274977542?comment_id=6928114720629784582
3,,_ohboyitstara,(Ohboyitstara),"2021-02-11 21:03:41",9,"so in scientific terms, is this still hypothesis then, due to the testing limitations? or is there enough evidence to raise to the level of theory? 😳",6701527559143916550,https://www.tiktok.com/share/user/6701527559143916550,https://www.tiktok.com/@_ohboyitstara/video/6928113689274977542?comment_id=6928114759946878981
4,,thesaggitarianlibrarian,"Morgan Gray","2021-02-11 21:07:56",4,"Well according to queen. Nothing really. .....Matters.....(I’m so sorry for this pun)",6893935911168623621,https://www.tiktok.com/share/user/6893935911168623621,https://www.tiktok.com/@thesaggitarianlibrarian/video/6928113689274977542?comment_id=6928115856295837702
5,,uptownsnail,Isabella,"2021-02-11 21:13:11",6,"I elect you to be non-binary Hank Green",6740458381600162822,https://www.tiktok.com/share/user/6740458381600162822,https://www.tiktok.com/@uptownsnail/video/6928113689274977542?comment_id=6928117207277223942
6,,ueberseezungen,"kelly 🌝","2021-02-11 21:14:41",7,"jamie how do you know so much stuff",6853382959212463110,https://www.tiktok.com/share/user/6853382959212463110,https://www.tiktok.com/@ueberseezungen/video/6928113689274977542?comment_id=6928117597388996613
7,,grouchling,grace,"2021-02-11 21:40:02",1,"thank u",6810862003508364294,https://www.tiktok.com/share/user/6810862003508364294,https://www.tiktok.com/@grouchling/video/6928113689274977542?comment_id=6928124127001788422
8,,merry._sky,Sky,"2021-02-11 21:44:22",155,"... a game theory",6626190800148299781,https://www.tiktok.com/share/user/6626190800148299781,https://www.tiktok.com/@merry._sky/video/6928113689274977542?comment_id=6928125243408465926
9,,jackross949,"Jack Ross","2021-02-11 21:55:43",3,"I love how you first get into physics and you’re like “ah everything makes sense now” and then you get deeper and realize we can’t explain shit",6777947004016018438,https://www.tiktok.com/share/user/6777947004016018438,https://www.tiktok.com/@jackross949/video/6928113689274977542?comment_id=6928128169669230597
10,,ryanmutton,"Ryan Mutton","2021-02-11 21:59:34",1,"How big? Like the 100km CERN wants to do in 2038 or bigger?",6704417924842849286,https://www.tiktok.com/share/user/6704417924842849286,https://www.tiktok.com/@ryanmutton/video/6928113689274977542?comment_id=6928129158803800070
11,,phoebeee.t,phoebe,"2021-02-11 22:18:10",15,"I JUST LEARNED ABOUT DARK MATTER",6688005541278663685,https://www.tiktok.com/share/user/6688005541278663685,https://www.tiktok.com/@phoebeee.t/video/6928113689274977542?comment_id=6928133950947328006
12,,normiewednesday,emily,"2021-02-11 22:19:15",9,"What do you mean according to gravity? Like in interacts with objects but not light?",6892885658316096517,https://www.tiktok.com/share/user/6892885658316096517,https://www.tiktok.com/@normiewednesday/video/6928113689274977542?comment_id=6928134230878994437
13,,labcoatcat,"✧*。me ✧*。","2021-02-11 22:26:05",6,"I followed for the gender content, staying for the 🔥premium🔥 content",6810046347232773126,https://www.tiktok.com/share/user/6810046347232773126,https://www.tiktok.com/@labcoatcat/video/6928113689274977542?comment_id=6928135989274312709
14,,gloomywasp,glumi,"2021-02-11 22:31:07",36,"sorry guys i accidentally took it home i’ll bring it back next weekend",6676913424234447878,https://www.tiktok.com/share/user/6676913424234447878,https://www.tiktok.com/@gloomywasp/video/6928113689274977542?comment_id=6928137292385271814
15,,makingwavesreiki,MakingWavesReiki,"2021-02-11 22:43:52",4,"I think I see the root of the confusion. This is the dawning of the age of Aquarius 😅♒️(the 5th dimension is the band who sang this song) 😌 yw",6872931270230279174,https://www.tiktok.com/share/user/6872931270230279174,https://www.tiktok.com/@makingwavesreiki/video/6928113689274977542?comment_id=6928140575552733189
16,,precipitation_trophy,"uncanny devito","2021-02-11 23:39:06",81,"So, scientifically speaking, dark matter is definitely ghosts.",6918511267511043077,https://www.tiktok.com/share/user/6918511267511043077,https://www.tiktok.com/@precipitation_trophy/video/6928113689274977542?comment_id=6928154808776032262
17,,ellebellyjellybean_,El,"2021-02-12 00:19:52",1,"dark matter are ghosts and spirits? hmm I am gonna say yes",6734822527962661893,https://www.tiktok.com/share/user/6734822527962661893,https://www.tiktok.com/@ellebellyjellybean_/video/6928113689274977542?comment_id=6928165308536782853
18,,mark.wares,Mark.Wares,"2021-02-12 00:59:00",1,"But my zodiac said I’m a space goddess",6786286645886567429,https://www.tiktok.com/share/user/6786286645886567429,https://www.tiktok.com/@mark.wares/video/6928113689274977542?comment_id=6928175394478882822
19,,twobeansjr,"Bean dip","2021-02-12 01:09:05",1,"A game theory- I’ll see myself out",6860313228879987717,https://www.tiktok.com/share/user/6860313228879987717,https://www.tiktok.com/@twobeansjr/video/6928113689274977542?comment_id=6928177994712743942
20,,mr.tooth.man,"Tooth Man","2021-02-12 01:32:44",0,"What’s the fourth dimension?",6739127765306491910,https://www.tiktok.com/share/user/6739127765306491910,https://www.tiktok.com/@mr.tooth.man/video/6928113689274977542?comment_id=6928184090512736261
21,,neon.lucis,"Akosh Wilder","2021-02-12 01:40:51",26,"its all because that one guy that screams about everything and people just run with it",6816530360362288134,https://www.tiktok.com/share/user/6816530360362288134,https://www.tiktok.com/@neon.lucis/video/6928113689274977542?comment_id=6928186183008944134
22,,hijoprodigo,"Bananas Foster","2021-02-12 01:41:35",7,"Seems like it’s more of hypothesis 😉",6721546030402487302,https://www.tiktok.com/share/user/6721546030402487302,https://www.tiktok.com/@hijoprodigo/video/6928113689274977542?comment_id=6928186367801884677
23,,stateofemergency999,"⠀ ⠀ ⠀ ⠀ ⠀ ⠀","2021-02-12 01:44:14",0,"waiting for dark matter bong rip 🥱🥱🥱",6700683994935264262,https://www.tiktok.com/share/user/6700683994935264262,https://www.tiktok.com/@stateofemergency999/video/6928113689274977542?comment_id=6928187050378838021
24,,mxspite,"𝕄𝕩. 𝕊𝕡𝕚𝕥𝕖","2021-02-12 02:00:57",0,Subspace?,6897308352931988485,https://www.tiktok.com/share/user/6897308352931988485,https://www.tiktok.com/@mxspite/video/6928113689274977542?comment_id=6928191359849709573
25,,debeby,debeby,"2021-02-12 02:04:51",0,"I'm kinda confused... how would it be possible to prove that by accelerating a particle?",6789367469436355590,https://www.tiktok.com/share/user/6789367469436355590,https://www.tiktok.com/@debeby/video/6928113689274977542?comment_id=6928192366796881925
26,,babbysatan,Jakob☭,"2021-02-12 02:06:02",0,"so like in theory we could be flying through space one day and just smack into a whole lot of nothing? is it like physically there or just supposed to",190060379006226432,https://www.tiktok.com/share/user/190060379006226432,https://www.tiktok.com/@babbysatan/video/6928113689274977542?comment_id=6928192668992749573
27,,birdbrainmischief,"Vega North","2021-02-12 02:16:58",0,"And THAT’S why they were bringing up the CERN lab in all those articles.... They were lamenting that the biggest collider we have IS NOT ENOUGH.",6908869186141029382,https://www.tiktok.com/share/user/6908869186141029382,https://www.tiktok.com/@birdbrainmischief/video/6928113689274977542?comment_id=6928195483173502981
28,,matt_201120,Matt,"2021-02-12 02:20:09",0,"what kind of information would that particle accelerator provide?",6693590239292277766,https://www.tiktok.com/share/user/6693590239292277766,https://www.tiktok.com/@matt_201120/video/6928113689274977542?comment_id=6928196308360822789
29,,kuyinnaku,Demi,"2021-02-12 02:20:36",0,"how big of an accelerator would we need?",6703276117632386053,https://www.tiktok.com/share/user/6703276117632386053,https://www.tiktok.com/@kuyinnaku/video/6928113689274977542?comment_id=6928196419686285317
30,,stevonnieb,"Stevonnie Brooks","2021-02-12 02:22:31",1,"finally someone is addressing this",6807560820790658054,https://www.tiktok.com/share/user/6807560820790658054,https://www.tiktok.com/@stevonnieb/video/6928113689274977542?comment_id=6928196911649013765
31,,hyperslothgg,hyperslothgg,"2021-02-12 02:25:01",0,"it's just a hypothesis*really important to draw the distinction",6848649360537437190,https://www.tiktok.com/share/user/6848649360537437190,https://www.tiktok.com/@hyperslothgg/video/6928113689274977542?comment_id=6928197557878013957
32,,chucktownterry,Spaceistheplace143,"2021-02-12 02:25:39",0,"That’s rad",6843403108795040774,https://www.tiktok.com/share/user/6843403108795040774,https://www.tiktok.com/@chucktownterry/video/6928113689274977542?comment_id=6928197722260865029
33,,not.your.avg.michael,"Michael Anthony","2021-02-12 02:26:51",0,"Thank you for the clarification!",6764555604678673413,https://www.tiktok.com/share/user/6764555604678673413,https://www.tiktok.com/@not.your.avg.michael/video/6928113689274977542?comment_id=6928198032752508933
34,,skibbyshmunkis,SkibbleShmunk,"2021-02-12 02:26:53",2,"ever since i learned abt dark matter ive always suspected it’s extradimensional or somehow related to what we would consider “divine” 😳",6731353144230036486,https://www.tiktok.com/share/user/6731353144230036486,https://www.tiktok.com/@skibbyshmunkis/video/6928113689274977542?comment_id=6928198046509580294
35,,katuhklizhm,"Michael Klizhm","2021-02-12 02:29:11",0,"Thank you",6565176160556449797,https://www.tiktok.com/share/user/6565176160556449797,https://www.tiktok.com/@katuhklizhm/video/6928113689274977542?comment_id=6928198630290210821
36,,justhandrew,"I’m the hand","2021-02-12 02:29:55",6,"I literally zoned out at the exact moment you made your point and now have to re-watch to actually hear it 😅",6703673339351745542,https://www.tiktok.com/share/user/6703673339351745542,https://www.tiktok.com/@justhandrew/video/6928113689274977542?comment_id=6928198825568026629
37,,mgrommert,mg🍉,"2021-02-12 02:30:04",0,"yes this is so cool, empty space is proven to have energy!! also you have a beautiful voice",122879981457686528,https://www.tiktok.com/share/user/122879981457686528,https://www.tiktok.com/@mgrommert/video/6928113689274977542?comment_id=6928198865787322373
38,,astralplainjane,jP,"2021-02-12 02:31:03",0,"Physically there is too much stuff",6805777161360081926,https://www.tiktok.com/share/user/6805777161360081926,https://www.tiktok.com/@astralplainjane/video/6928113689274977542?comment_id=6928199115180572677
39,,valiant.__a,Adrian,"2021-02-12 02:36:28",17,"Your voice 😊💐💕💫. Your words 🤯💀👽🧠🪢",6653989442758901765,https://www.tiktok.com/share/user/6653989442758901765,https://www.tiktok.com/@valiant.__a/video/6928113689274977542?comment_id=6928200511410126853
40,,timbowman101,"Tim Bowman","2021-02-12 02:46:48",0,"So just how big a supercollider do you need? 😳",6890705685115323397,https://www.tiktok.com/share/user/6890705685115323397,https://www.tiktok.com/@timbowman101/video/6928113689274977542?comment_id=6928203178588520454
41,,catlikemeow1,"Cat 🐾","2021-02-12 02:51:17",0,Thisssss,6884058599544865798,https://www.tiktok.com/share/user/6884058599544865798,https://www.tiktok.com/@catlikemeow1/video/6928113689274977542?comment_id=6928204330504372230
42,,cockunist,Commie,"2021-02-12 02:52:36",0,@marcus.dipaola,6574344281402146825,https://www.tiktok.com/share/user/6574344281402146825,https://www.tiktok.com/@cockunist/video/6928113689274977542?comment_id=6928204672679313413
43,,palalalalaloma,Paloma,"2021-02-12 03:05:27",23,"as a physicist i say heavy ghosts (lol really tho thanks for putting pop science in its place it’s rough out there trying to explain things)",6736545803769185286,https://www.tiktok.com/share/user/6736545803769185286,https://www.tiktok.com/@palalalalaloma/video/6928113689274977542?comment_id=6928207976117731334
44,,highfemmeghost,"🥀 Madeline 🥀","2021-02-12 03:09:12",17,"Wow I haven’t been able to fully wrap my head around this until this video ty 👍🏻",6807522466291909637,https://www.tiktok.com/share/user/6807522466291909637,https://www.tiktok.com/@highfemmeghost/video/6928113689274977542?comment_id=6928208947673628678
45,,dubberz45,"Screaming mayonnaise eagle","2021-02-12 03:35:16",0,"We just need to redo the math. We messed up along the way. We need to go back to the beginning and start over. Some one was wrong.",6811203253024932869,https://www.tiktok.com/share/user/6811203253024932869,https://www.tiktok.com/@dubberz45/video/6928113689274977542?comment_id=6928215660099534853
46,,itscaitlee,"Cait Earnest","2021-02-12 03:38:22",2,"I am obsessed with all of your chaotic/random content!!! 💜",6838695105735918597,https://www.tiktok.com/share/user/6838695105735918597,https://www.tiktok.com/@itscaitlee/video/6928113689274977542?comment_id=6928216463669395461
47,,enbygenius,Jamie,"2021-02-12 03:39:37",371,"and why do I say “too much stuff” like a bad Bernie Sanders impression? I can’t explain that one",6653991404438011910,https://www.tiktok.com/share/user/6653991404438011910,https://www.tiktok.com/@enbygenius/video/6928113689274977542?comment_id=6928216780427378694
48,,itsparam001,Param,"2021-02-12 04:21:48",0,"A game theo... god dammit someone else beat me too it",6654254968504598534,https://www.tiktok.com/share/user/6654254968504598534,https://www.tiktok.com/@itsparam001/video/6928113689274977542?comment_id=6928227652188946438
