,,"Unique ID","Name ",Date,Likes,Comment,"Profile ID","Author URL","Comment URL"
1,,apolmonk,"The Appolonius Monk","2020-06-21 02:09:19",15,"Love this one",6582249916780380165,https://www.tiktok.com/share/user/6582249916780380165,https://www.tiktok.com/@apolmonk/video/6840616903778635013?comment_id=6840617411302653958
2,,charlie1874236,"Charlie b","2020-06-21 02:10:23",1,"That’s super cool imagine if u followed me back tho",6738407908399285254,https://www.tiktok.com/share/user/6738407908399285254,https://www.tiktok.com/@charlie1874236/video/6840616903778635013?comment_id=6840617691783954438
3,,that.chaotic.theater.kid,willa,"2020-06-21 02:10:39",3,"you do sound crazy, but why do you think we followed you? to learn normal facts?!",6669008000101859334,https://www.tiktok.com/share/user/6669008000101859334,https://www.tiktok.com/@that.chaotic.theater.kid/video/6840616903778635013?comment_id=6840617762843443205
4,,big_gibby01,"Big Gibby","2020-06-21 02:11:51",0,"Well dammm u America",6802235080003142661,https://www.tiktok.com/share/user/6802235080003142661,https://www.tiktok.com/@big_gibby01/video/6840616903778635013?comment_id=6840618068452999174
5,,purple_bacon333,..,"2020-06-21 02:12:50",3,"excuse me what!??",6781608188674393094,https://www.tiktok.com/share/user/6781608188674393094,https://www.tiktok.com/@purple_bacon333/video/6840616903778635013?comment_id=6840618321147871238
6,,luka772299,"( kanye’s version)","2020-06-21 02:13:22",1,"what are you @realadamrose",6718079800583717893,https://www.tiktok.com/share/user/6718079800583717893,https://www.tiktok.com/@luka772299/video/6840616903778635013?comment_id=6840618461396566021
7,,luke_tipp3tts_,"Luke 🎶","2020-06-21 02:13:57",1,Yeet,6711336226282259462,https://www.tiktok.com/share/user/6711336226282259462,https://www.tiktok.com/@luke_tipp3tts_/video/6840616903778635013?comment_id=6840618606956003334
8,,caseob,Caseob,"2020-06-21 02:16:02",1,Early,6790784680721564678,https://www.tiktok.com/share/user/6790784680721564678,https://www.tiktok.com/@caseob/video/6840616903778635013?comment_id=6840619144347123718
9,,shaan.mehdi,"Shaan Mehdi","2020-06-21 02:17:35",3,"love your videos",6687734225644291077,https://www.tiktok.com/share/user/6687734225644291077,https://www.tiktok.com/@shaan.mehdi/video/6840616903778635013?comment_id=6840619542076096518
10,,spook.airsoft,SPOOK.AIRSOFT,"2020-06-21 02:40:51",1,"What. The . Fudge",6784011287497393158,https://www.tiktok.com/share/user/6784011287497393158,https://www.tiktok.com/@spook.airsoft/video/6840616903778635013?comment_id=6840625542371557381
11,,brewhahaman,"Claude Brewster","2020-06-21 02:41:12",1,"wow I need to get a job doing that",6679528827100120069,https://www.tiktok.com/share/user/6679528827100120069,https://www.tiktok.com/@brewhahaman/video/6840616903778635013?comment_id=6840625631895109637
12,,waycay,WayCay,"2020-06-21 02:41:22",9,"A random mad lib sentence 🙌",6767070356093387782,https://www.tiktok.com/share/user/6767070356093387782,https://www.tiktok.com/@waycay/video/6840616903778635013?comment_id=6840625676694355974
13,,vivianblake777,BostonparTygurl,"2020-06-21 02:41:59",0,"I had thought that ww2 era battleships were largely radiation free?",6833042523868644357,https://www.tiktok.com/share/user/6833042523868644357,https://www.tiktok.com/@vivianblake777/video/6840616903778635013?comment_id=6840625836979339269
