Exported by,ExportComments.com,,,,,,,
Source URL,https://www.youtube.com/watch?v=fX_1pM64uUk&pp=ygULZGFyayBtYXR0ZXI%3D,,,,,,,
Timezone,,,,,,,,
,,,,,,,,
Some Comments may not appear here because of their privacy settings,,,,,,,,
,,,,,,,,
,,Name (click to view profile),Date,Likes,isHearted,isPinned,Comment,(view source)
36,,@BrianCStratton,8/12/2023 20:58,0,no,no,"I would like to begin admitting I am an ignorant human but nonetheless very curiuos as well.

I know this may not sit well with physicists but I would like to present a very limited understanding of Buddhist cosmology because this presentation takes into account both the physical realms of the universe and non-physical realms of consciousness and may shed some inkling of insight into the ""matter."" Please not that this description was given over 2,500 years ago to an audience in which  telescopes were not available...

Just as there are multiple planes or levels of consciousness that we can experience correspondingly, according to Buddhist cosmology, there are multiple planes or dimensions in which consciousness can reside. Ths most subtle being the ""Formless realm"" where, as the name implies, there is no physical form yet consciousness resides. This is followed by the ""Form realm"", which does contain a subtle physical form, and then the ""desire realm"" where we are. To add to the complexity of this, there are multiple planes of existence within each of these realms in which beings, whose number, like the universe, is infinite, reside according to the karmic relationship of the cause-and-effect nature of consciousness and matter. 

Now for the relationship to the unfolding of cosmic inflation and the big bang. It is said that our universe, being one of infinite, is formed in stages from elements going from subtle to gross; begining with ""wind"" and settling into ""earth."" The ""winds"" churning, or power, or formation, is dependent on and has a direct relationship with consciousnesses in the formless realm. This wind, in turn,  creates fire, creating water, and then finally earth. Where t=0 in the formation of the universe only ""winds,"" and likewise formless beings,  were present driving inflation and evolution of the universe to the point where conditions for each successive element to form; the very hot dense beginning being fire, then water, then stars and planets corresponding to the element of earth. Each stage, likewise, becomes the physical conditions needed for the individual consciousness from the various realms to reside; as the universe formation evolves so too do its conscious inhabitants.

SO what is dark matter and energy?

I propose, and i am just saying this to spark imagination and possibility:

Dark matter = The beings and other physical planes or dimensions in the universe that we are not able to (and my never be able to) detect 

Dark energy = The forces and interrelationship of matter and consciousness of the various beings that reside within the universe",view comment
37,,@boonraypipatchol7295,10/12/2023 13:48,0,no,no,"Quantum information, Quantum entanglement,
Are, fundamental, underlying of Reality.
Quantum Mind emerge.. Collection, Pattern of QuInfo and QuEntang.
Quantum Body emerge.. Std.Model emerge, DNA, Protein synthesis.
Mind and Body entanglement.. Consciousness emerge.
Spacetime emerge.. Mass.. Energy.. Wave fn. Decoherence.
Mathematics Emerge.. Intrinsic in the fabric of the emergence.
Holographic principal. Information Conservation, Energy conservation",view comment
38,,@XandarLake1,13/12/2023 23:04,0,no,no,"In our calculations we lack dark energy and dark matter, and we doubt in math but the numbers are correct. What we do not see is the fact that space visible to us is overlapped with other dimensional space that exist in the same time and the same space but it is only one dimension away from us. One thing in common we have with overlapping space is gravity. Gravity ""sees"" both Universes as one.",view comment
39,,@Ytinasniiable,21/12/2023 22:32,0,no,no,"Just starting this, but one of my many thoughts is ""what if, on an outer universal scale, the big bang was only an instant ago, and the real spectacular results of it are still a ways off""",view comment
40,,@albin2232,22/12/2023 22:11,0,no,no,Brian Cox created them.,view comment
41,,@ForgeGamingX,24/12/2023 15:49,0,no,no,Where there is light there will always be shadows as well.,view comment
42,,@MrEStreaming,25/12/2023 22:04,0,no,no,"? ??????? ??????
??? ???????????????????? ????? ? ? ??????? ?????? ? ? ????? ??????
? ? ????? ?????? ? ???? ? ????: ???????? ???: ???????? ???????? ?

? ? ????? ?????? ? ?? ????????: ? ?? ?????????? ? ?? ???????:
? ???????????? ? ?????????? ???????? ???: ???????? ???????? ?

? ?? ????? ???? ? ?? ??? ???? ??? ??? ?? ??? ???????? ???:
? ????? ? ?????? ? ???? ?? ?????: ???????? ???: ???????? ???????? ?

? ?????? ? ???? ? ?????? ? ??:??? ? ??????? ? ?????? ? ????: ? ?????:
??? ????? ??? ?????? ? ?????? ???????? ???: ???????? ???????? ?

? ???????? ? ???? ? ?? ???????: ???? ??? ?? ??? ???? ? ????
? ??????? ? ?????? ????????? ?????: ???????? ???: ???????? ???????? ?

??? ??????????? ??????? ???? ??????????? ??????? ?????????????????
? ??????? ??? ???????? ? ???: ???????? ???: ???????? ???????? ?",view comment
43,,@curlyhum1276,26/12/2023 1:18,0,no,no,"i got to 20 minutes then his explanations of formation, no your nuts pal, the big bang is a void of any sign of intelligence is as the brain dead subject of Evil-Lution!!!   think? : 

can, or does mass in the forth dimension effects mass in the third, can it influence it by gravity waves?   i say it does and it can!",view comment
44,,@mystickabuganj,2/01/2024 11:02,0,no,no,"Maha kala ki jai
Loved this episode",view comment
45,,@user-ko5vn2ce6p,4/01/2024 17:47,0,no,no,"Nu inteleg un lucru, 3:08  daca nu poate fii depistat sau vizibil de unde stii ca este materie neagra sau energie neagra, sa inteleg ca respectivii sunt clar vazatori sau cititori in stele? in primul rand nu exista energie neagra iar materia este aerul sub presiune, sa în?eleg aer negru apropo la materia neagra (anonimuldigalati)",view comment
46,,@gunplow,5/01/2024 22:52,0,no,no,So we're there is matter there's  energy,view comment
47,,@gunplow,5/01/2024 22:54,0,no,no,We're there is gravity there is energy,view comment
48,,@bishopdredd5349,10/01/2024 12:55,0,no,no,"Einstein, it’s always Einstein!",view comment
49,,@elizabethlyons2483,10/01/2024 19:58,0,no,no,at around 21:00 he says that matter got raveled in dark matter - pulled in by the dark matters gravity/ but how can the voids gravity be so high to form galaxies when its so not dense?,view comment
50,,@Metaphyical0samak,11/01/2024 6:06,0,no,no,I am grateful for this video,view comment
51,,@AdamTheTruthSeeker,14/01/2024 0:10,0,no,no,"This is what kills me is numbers that makes no sense. Where did 95% come from? No one knows how big space ""universe"" is. Imagine that for 1 min. These scientists have no clue all the way to the Pyramids. Throw the school books away. The schools are brain washing people.",view comment
52,,@markdave2456,26/01/2024 7:24,0,no,no,40:44 was clean,view comment
53,,@kaznats1,26/01/2024 15:04,0,no,no,"Now I’m wondering since the universe appeared ex nihilo perhaps the universe is like a smoky vapor, it comes and them quickly dissipates leaving the nothingness it appeared into. Perhaps dark energy is in fact the return of nothingness as the universe slowly expands and dies a cold death",view comment
54,,@ivodraschkow6019,27/01/2024 12:22,0,no,no,"According to my theory, ""dark energy"" is an energy source of precosmic origin and, based on Darwinian development, the basis of all energies and substances known to us - space and time also originate from it. The universe is an open and not a closed system - because the fact that we should exist under laboratory conditions is an unfounded scientific assumption that also seems completely unnatural. Physical, chemical and biological processes are sets of rules that build on each other - and are preceded by at least one even more fundamental one.",view comment
55,,@sugandhasharma7886,31/01/2024 4:01,0,no,no,Jesus ne universe banaya hai ??????????????????????,view comment
56,,@sharding37,1/02/2024 21:50,0,no,no,Does anyone happen to know the name of the Supermassive Black Hole at @13:43?,view comment
57,,@bat__bat,3/02/2024 15:48,1,no,no,"Great documentary. I've found that these episodes work just as effectively as audio-only for long drives. It's very special to be able to follow along on the history through the current interpretations of all of these incredible concepts. I'd heard of and read about many of these concepts already, but it's always been difficult to map these discoveries chronologically, and with respect to how each concept interacts with another to help build out the model. We've come a long way since Galileo and even Newton. The only dissatisfying thing about these episodes is the realization that too few of our youth and young adults are being taught these concepts in even their simplest forms. Our younger generations are downright ignorant of these concepts and of the immense bodies of work gone into mapping the history of our reality. They don't understand for even a moment that driving a car or using a cell phone invokes countless invisible and unnoticeable concepts that brilliant minds of the past were determined to solve. In solving them, they made it a possibility to actually harness these things to create technology that today we can't imagine being without. It's so bad nowadays that not only are they ignorant, but they're creating counter-theories and denying previous discoveries. They think of them as conspiracies and frauds. Flat-Earthers and moon landing deniers come to mind, but there are many more that are just too stupid to take seriously. Not enough young people are being taught about scientific discovery in the fields of physics and astronomy, and about how those scientific genres actually affect their lives. More than anything else, I pity these young people because they may never watch magic unfold into reality, and they may never gain that fulfilling obsession of wanting to know the truth.",view comment
58,,@mrkongsimr,4/02/2024 22:00,0,no,no,"From The Father ! And matter came from the only begotten son’s blood when He was killed on the alter ! 
Then every thing was created by Him and for Him ! Praise God !",view comment
59,,@Onts123,4/02/2024 23:11,0,no,no,"What if Neutrinos in their ""non existing"" state are dark matter? ?? I have no idea what I'm doing, sorry",view comment
60,,@conscioussd,7/02/2024 0:29,0,no,no,"Could matter be positive energy and antimatter negative energy and we are all spinning at a very high velocity , thus creating a godlike ""charge"" that continues to fuel the expansion of our universe?",view comment
61,,@beclear2473,7/02/2024 11:30,0,no,no,thank your the honest that dark matter and energy  is no where on the horizon discovery. a theoretical playground is a statement yours.,view comment
62,,@gerard4444,7/02/2024 11:52,0,no,no,"dark energie
is fake....
mensen krijgen heel veel geld. als ze een mooi verhaal verzinnen
het geheim is super simpel
zoek maar in teslas werk
Engery rules, not dark  fairyteels",view comment
63,,@brewok_ping,7/02/2024 12:18,0,no,no,it is impossible for the universe to come into existence out of nothing..it must be created by someone outside the universe..,view comment
64,,@anjalE30,11/02/2024 1:25,0,no,no,"Dark energy is GRAVITY

Dark matter is PAIN (ions- electrical nerve impulses)",view comment
65,,@dibnah46,13/02/2024 11:47,0,no,no,I love these videos. They are so therapeutic. Maybe it’s because it allows my brain to leave this world for an hour or so. Thank you,view comment
66,,@monkey2god998,14/02/2024 4:02,0,no,no,I believe we do not a clue as to whats really going on out there.,view comment
