,,Name (click to view profile),Date,Likes,isHearted,isPinned,Comment,Profile ID,Comment ID,Comment URL
17,,@4or871,22/02/2022 20:15,0,no,no,"Combine:
1. cosmological constant
2. schrodinger solution
3. Planck E= h f= h n   
4. n = number of superpositions 

And you get dark matter 

n^2 h^2 / ( 8 m L^2) = h n
m = 0.3313  10^18  10^-34 = 0.3313  10^-16 kg ( all superpositions).

1 particle = 0.331  10^-16 / ( 0.4  10^18) = 0.828  10^-34 kg = 46 eV

If you count only the positive wave function amplitudes: n = 10^9 
then dark matter = WIMP
m = 46 GeV",UClo_OKX-0tTnCpGKs1sFbJg,Ugwjn44oAzMi6GYrDuR4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=Ugwjn44oAzMi6GYrDuR4AaABAg
18,,@mathieuflinders9769,1/03/2022 9:13,0,no,no,"Great video, except for claiming to validate the human race.",UCYR0a7QyDiZi-eCKHfo1JLQ,Ugx17in5S2FJw5MwAU94AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=Ugx17in5S2FJw5MwAU94AaABAg
19,,@jemappellemostafarefat6774,1/03/2022 18:42,0,no,no,"And the heaven We constructed with strength, and indeed, We are [its] expander.  Quran Ch51' ve46.",UC8-y32z_gPzD3KKs1_33M6Q,Ugx6esJ4BXkD2uBg9854AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=Ugx6esJ4BXkD2uBg9854AaABAg
20,,@thegoldenboah3343,13/03/2022 14:42,2,no,no,sounds like god to me,UCoRjQzsjQ4jKQRCO3C4bUNg,UgzWHXPBjyObcP_ubmF4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgzWHXPBjyObcP_ubmF4AaABAg
21,,@gregoriosevilla398,16/03/2022 13:47,0,no,no,"The imported competition commercially hunt because plant additionly stare below a thick art. greedy, female fertile barometer",UCc2oUnTypEL2q7KyPG6aj3g,UgyXDMJOpmGb8uGg07h4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgyXDMJOpmGb8uGg07h4AaABAg
22,,@lynxb8300,17/03/2022 12:18,0,no,no,00:55 No matter what someone says but I know it was Maharishi Kanad who came up with the theory of Atoms first & explained what atoms are,UCLAWz-VXh4c8Opx9x5_32Bw,UgxPal9RgMsfx9Du2w54AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgxPal9RgMsfx9Du2w54AaABAg
23,,@tessaherondale110,19/03/2022 14:57,0,no,no,"Fun fact, Ancient Indians discovered atoms even before the Greeks. 
Random discovery in the west:
Indians: lol we did that first ages ago.",UCMpigQ_ebpC_23nId0cDIlA,UgyxeVtROi1sugu_aJt4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgyxeVtROi1sugu_aJt4AaABAg
24,,@privatebryan1924,25/03/2022 10:19,1,no,no,I believe more and more there is no such thing as the physical world only. Science will never go through that barrier.,UCq_gXZPwLd5Dl4sgxhktUoQ,UgwqPyiY6_TT7_WMg0h4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgwqPyiY6_TT7_WMg0h4AaABAg
25,,@singhji_437,26/03/2022 4:32,0,no,no,So it doesn't matter at all?!,UCkU69RxYk_p8i3bE7BFi6TQ,UgybiFXhz9OMEZGO82t4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgybiFXhz9OMEZGO82t4AaABAg
26,,@TheIrishmanCan,31/03/2022 18:35,0,no,no,CLI astronomy class brought me here,UCQrh36mYdMk0oxXKe4L7qQQ,UgzhMwTD71jkG_fERN94AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgzhMwTD71jkG_fERN94AaABAg
27,,@donnacadayona1216,4/04/2022 20:26,0,no,no,"WHEN THE


WHEN THE UNIVERSE IS SUSY😳😳😳",UCcDNAKwed4LjQXPhltmBO8g,UgzCyyQAEJMTZ5Z1W654AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgzCyyQAEJMTZ5Z1W654AaABAg
28,,@martijn3151,4/04/2022 22:44,0,no,no,"Somehow this whole dark explanation feels a bit convoluted. Similar to how we also used to have “aether”, a medium in which light could travel in a vacuum. Once we accepted a different reality, there was no need for the aether anymore. I feel that a similar thing is happening here. I wouldn’t be surprised if dark matter/energy could be explained away in a few decades.",UCO6S2ZkLi9x1g3_SpHp3Luw,Ugx9bFbSwXU-p-nraQp4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=Ugx9bFbSwXU-p-nraQp4AaABAg
29,,@AnotherAgnostic,5/04/2022 4:12,0,no,no,There is no actual proof that Dark Matter actually exists... they need it to make sense of their observations but most likely there is an aspect of gravity on a larger scale that they are unaware of.,UCm1OJydiRnQHUDZ3Imdj06g,UgwSNUCmg3e8efPErgR4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgwSNUCmg3e8efPErgR4AaABAg
30,,@nanachichi1044,5/04/2022 16:13,1,no,no,Sussy baka,UC8vUyfX8A8UMtSWcn1HRRUQ,UgzAhV-PpX8QuwIsaMB4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgzAhV-PpX8QuwIsaMB4AaABAg
31,,@mileslucas3108,22/04/2022 18:12,2,no,no,Ratio,UCovod_TfwUYj3AECZJ-9DvQ,Ugwi2KLeTbli-Hb86CB4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=Ugwi2KLeTbli-Hb86CB4AaABAg
32,,@sharikkhanday5687,26/04/2022 21:52,0,no,no,Hi ..if ur here plzz reply,UC8CRCsSb1VYQYdALl1HlVXA,UgwNdCFHxSMwdFdKTHp4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgwNdCFHxSMwdFdKTHp4AaABAg
33,,@kaushikchandera9836,2/05/2022 10:07,0,no,no,"Update yourself ted.
Greeks were not the one who proposed 4 element theory for universe.

It was india who have proposed that the universe is made up of 5 elements (pancha mahabhut) ; air (vayu), water (jal) , fire(Agni) , earth(prithvi) and space (aakash).

It is the aakash which is now told by science as dark matter but it was already given in vedic texts, upnishads, samhitas.",UCxT9Al2oOZYdtsjjpRkJOuQ,UgxJvECKRGzZU1pDIIN4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgxJvECKRGzZU1pDIIN4AaABAg
34,,@niteshvishwakarma6709,7/06/2022 18:07,0,no,no,I felt stress free at the end of the video. Thank you soo much!,UCDpwYn6yRY_kNJMhI5UJJEw,UgwV3jPLHD3eFRVtOlp4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgwV3jPLHD3eFRVtOlp4AaABAg
35,,@thebigeader3809,16/06/2022 20:24,2,no,no,"4:20 
Captions: “SUSY” amongus",UCfK3z8OR_oweAXxXWpHiF6g,Ugw29an1yVwdecnCjWN4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=Ugw29an1yVwdecnCjWN4AaABAg
36,,@doomnationalist,18/06/2022 15:41,1,no,no,Is there a possibility that gravity at cosmic scale behave differently to hold the galaxy together rather than dark matter?,UCKA4YvlL5yge9kSy1S-lzpA,UgwKDfp4B5PjPC-fKCx4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgwKDfp4B5PjPC-fKCx4AaABAg
37,,@Dr-Truth,12/07/2022 8:24,1,no,no,Scientists are even ready to accept the unseen dark matter or dark energy but not God. What a hypocrisy.,UCJpYVz64PRpF_75cg86gt9Q,UgzkpbOj10PN3QxukCt4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgzkpbOj10PN3QxukCt4AaABAg
38,,@RareGem369,13/07/2022 9:50,0,no,no,Why do they care so much? How will any of that help anyone? What will knowing any of that prove?,UCzT9wLjXG8QcZGMigqRrPjw,UgxbonmOZak2_RsFWiR4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgxbonmOZak2_RsFWiR4AaABAg
39,,@wishtoremainanonymous2778,14/07/2022 16:14,0,no,no,"Dark matter -Aspergillius Niger - byproduct of the four elements - converting matter as it dies to dark matter, 68 percent of the universe is past horizon and once this reaches 100 we have the next Big Bang. Starting the universe again with only Light/Matter",UCCe4urvbJr_Wd3Woyd-0UNw,UgyVY7aYll1inhEu_Pp4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgyVY7aYll1inhEu_Pp4AaABAg
40,,@mohammedasadi,17/07/2022 19:38,0,no,no,I wonder how people can be certain in everyday life where we are not yet sure what 95% of the universe  is made of!,UCmf-v6rWDQKzRY_bbh36T3A,UgzPH6edtT7sHF-MmtV4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgzPH6edtT7sHF-MmtV4AaABAg
41,,@zfazzershroudvietcynide64e58,18/07/2022 5:57,0,no,no,"wrong fact on the video, its actually John Dalton who discovered atom",UC48sPRVlRKiqnU63f9FMazw,UgzLvVrbZWUW_2G9a394AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgzLvVrbZWUW_2G9a394AaABAg
42,,@smcafee3312,12/08/2022 16:57,0,no,no,Greek Usurped it from Africa which knew this 3000 years before Greeks had an alphabet 🤔,UCfwPpQ2QTaPhufHnMZQthrg,UgzqFByjKYV80sggmDF4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgzqFByjKYV80sggmDF4AaABAg
43,,@StarBoundFables,21/08/2022 3:00,0,no,no,"Woah, this is beautifully well put together, thank you 🙏🏽😄",UCVku4yI1qgsNMD026fEAEuA,Ugy1AVAOpQmSqhJw9wR4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=Ugy1AVAOpQmSqhJw9wR4AaABAg
44,,@faiyazrahman7682,31/08/2022 9:06,1,no,no,The more i learn about science the more i become confident about the existence of God,UCgWpO6WgrNn0Y8bGhjTwQxg,UgzGuAX8CL_BdrAzB6p4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgzGuAX8CL_BdrAzB6p4AaABAg
45,,@hesedvpro6204,17/09/2022 12:31,0,no,no,"""It doesnt matter""",UCgqYapz0zody4beiOPg2XqQ,UgwjUrfaNZ2rqyKB7dV4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgwjUrfaNZ2rqyKB7dV4AaABAg
46,,@buttercups2537,23/09/2022 7:48,0,no,no,"We just lack the organs to see the ""dark matter"", A sentinet being made of dark matter, unable to see us, might explain our matter as their version of dark matter.",UC6_p3KBt5BjuTWv2kIu36HA,Ugx7zK4awrnM-bhiDsZ4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=Ugx7zK4awrnM-bhiDsZ4AaABAg
47,,@andershuitfeldt1328,23/10/2022 0:43,0,no,no,This God compound dark matter is an absolute lie by people who just don’t know the answer and they cannot admit that the Big Bang theory is wrong it is always been wrong it is a fallacy it is absolutely ridiculous and it will be proven to be so in time by the few really intelligent scientists who can actually think,UCRXUg7Zo3KUsexprBTBvBIw,UgwFwou87y_QRtEedjN4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgwFwou87y_QRtEedjN4AaABAg
48,,@skyes3095,26/10/2022 12:57,0,no,no,"with all these things still man thinks there is no such being as a God, it's always about other else besides God",UC-9LHoC5LUllTrtSfPQmWFg,UgxQUy9FWN7rLko7xQJ4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgxQUy9FWN7rLko7xQJ4AaABAg
49,,@kysietalatayod1815,30/10/2022 23:13,0,no,no,I feel very finite yet so infinite at the same time,UCWN93loQAbs_LNpKJkHITsg,UgzfZ8h0LXNI5nwaw3l4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgzfZ8h0LXNI5nwaw3l4AaABAg
50,,@dilishrajandilish,6/12/2022 7:48,0,no,no,"Dark matter is nothing but frozen time. 

Dark matter melts into time and expands the space of Universe, it bends light at denser points, yet only detectable by its effect on observer and is always untouchable and unfathomable like time.

When velocity of an object increases, dark matter acts thicker to it like ice,  rather than liquid, and melts slowly. Hence time dilation in relativity 

Just like when a spacecraft re-enters earths atmosphere, it feels air thicker than it normally does at lower speeds

A wormhole is the absence of dark matter due to excessive melting and it consumes lots of energy to maintain it.

Dark matter touches almost everything observable, hence information is passed on between entangled particles

Dark matter limits the speed of light. Speeds higher than C is also possible in the absence of Dark matter (Eg. inside Wormhole)

Gravity thickens Dark Matter. It melts slowly near the source of gravity and melts faster into time when away from the source of gravity

Dark matter exists even before Big Bang and acts as a controlling canvas for Big Bang. And the Big Bang is currently spreading on it",UC_jFx1h9kg8y9cx40Re8Cbg,Ugx_L5UeiHuwJTtDwqh4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=Ugx_L5UeiHuwJTtDwqh4AaABAg
51,,@migueltlg,14/12/2022 14:27,0,no,no,Dark matter? I prefer you matter,UCsbMytOsILRktKJadEGe2-g,Ugyij-8GHStN5A9Q9mp4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=Ugyij-8GHStN5A9Q9mp4AaABAg
52,,@totien2608,16/12/2022 17:22,0,no,no,kakine teitoku likes this with his power. ❤️,UCzkHrWQvPPdrzcPDZ_v1i9w,UgzP1-2PXs0lolgjoyp4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgzP1-2PXs0lolgjoyp4AaABAg
53,,@zzzzzz388,19/12/2022 11:05,0,no,no,It’s just dark alive,UCR_j0KX1EY_doV58Ya5XCwQ,UgxQ694oWQIollPVKlp4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgxQ694oWQIollPVKlp4AaABAg
54,,@renztan4353,27/12/2022 7:14,0,no,no,turns out that dark matter are just the friends that we made along the way ❤,UCGv5trfxgcpDwjXeso4IAOw,Ugwp0TIZUFTIwJvxwo54AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=Ugwp0TIZUFTIwJvxwo54AaABAg
55,,@mahmutdemircan3657,31/12/2022 16:07,0,no,no,He Who created the seven heavens one above another: No want of proportion wilt thou see in the Creation of ((Allah)) Most Gracious. So turn thy vision again: seest thou any flaw? Mulk-3 / Quran,UCa7JMKhYoMocg-YJShHd_xg,UgxzhsK9ND1Z8E5nRVB4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgxzhsK9ND1Z8E5nRVB4AaABAg
56,,@toffietoff4570,1/01/2023 18:19,0,no,no,"So dark matter is the opposite of matter right? But we are searching for it... why? You'll never find it. You search for dark matter? No your looking for matter if your searching... dark matter is the opposite of matter... it's all around... matter is physical you can hold it... you can see it.. can you hold or see dark matter? It's nothing. Litteraly... nothing... that's dark matter maybe has physical form in another dimension but not here. We will never find it If looking for it, it is however, everything you don't see...",UCO8QlCLDXXCxzAgGFyEsz3g,UgzT_YWsaU2jai-jP8t4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgzT_YWsaU2jai-jP8t4AaABAg
57,,@shrav7-,13/01/2023 15:52,0,no,no,This is a very interesting theory that I came across and is almost shocking and crazy to wrap our minds around this concept,UCF0-guahJe3nZ4HNpz6C66w,Ugz0TjWNbkYuF98GyqF4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=Ugz0TjWNbkYuF98GyqF4AaABAg
58,,@jansarmiento5321,19/01/2023 2:23,0,no,no,I really want to quit my job to study science and math till i die damn,UCXRYZ561odHKLFS_2zfputw,UgzE1pq2mFcSV7wMQZ94AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgzE1pq2mFcSV7wMQZ94AaABAg
