,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
1,,@Antelopesinsideme,"2023-04-21 02:02:16",0,no,no,"If i always end up watching this stuff and i find most science extremely interesting, should i study it?

As in to work a job in a scientific field",UCRjJEfwvwkbiNYqXVP_9N4A,UgxFIpbEfNTKluxQiBB4AaABAg,https://www.youtube.com/watch?v=-GEZ95TJ5Ao&lc=UgxFIpbEfNTKluxQiBB4AaABAg
2,,@phil3.146,"2023-05-01 09:48:31",0,no,no,"The religion of the parallel universe.",UCYPFzIhktLIRkSqytiEel8g,UgyWz8RUGaiwL44Ftw94AaABAg,https://www.youtube.com/watch?v=-GEZ95TJ5Ao&lc=UgyWz8RUGaiwL44Ftw94AaABAg
3,,@dannmann17,"2023-05-14 17:42:23",2,no,no,"This man is my cosmic hero👍🏻🇺🇸",UC8DxDxrVcVYmcI7Gg8UyzKA,UgzmmXku4DZhKfXADl54AaABAg,https://www.youtube.com/watch?v=-GEZ95TJ5Ao&lc=UgzmmXku4DZhKfXADl54AaABAg
4,,@ungratefulmango,"2023-05-16 22:57:35",0,no,no,"I think the analogy is pretty good. But why not continue feeling and describing the elephant as we feel it?",UCaoJItSTPTNYKOkr8c5fckA,UgyD7GVn00uzSBQ2E614AaABAg,https://www.youtube.com/watch?v=-GEZ95TJ5Ao&lc=UgyD7GVn00uzSBQ2E614AaABAg
5,,@CJBwbo766,"2023-06-07 03:51:28",1,no,no,"I’ve been saying this for a long time. Calculate how much mass is missing and assume our universe is average, you can by extension solve for how many parallel universes there are that on average are interacting through gravity with our universe",UCATYhtI25HwYEmBJf9CqAKA,Ugx_sQsdilhFORqFWRl4AaABAg,https://www.youtube.com/watch?v=-GEZ95TJ5Ao&lc=Ugx_sQsdilhFORqFWRl4AaABAg
6,,@boneworksmortal8709,"2023-06-09 05:16:27",0,no,no,"I've never seen dark matter, none of the hommies ever seen dark matter, stop the cap",UCzrRr4fcpgrOJwLpnMRS_xQ,Ugwhky207uBxcLC2Mah4AaABAg,https://www.youtube.com/watch?v=-GEZ95TJ5Ao&lc=Ugwhky207uBxcLC2Mah4AaABAg
7,,@jayb5596,"2023-06-16 00:25:36",0,no,no,"E = mc2. It's the world's most famous equation, but what does it really mean? ""Energy equals mass times the speed of light squared."" On the most basic level, the equation says that energy and mass (matter) are interchangeable; they are different forms of the same thing.

I have a computer which draws 230w of energy and the monitor draws 43w of power. 230/43 = 5.348837209302326 gives us our power ratio.

In this system the systems hardware is consuming 5.3x more energy than the display device of the system.

This correlates with Dark Matter and Ordinary matter.

26.8/4.9=5.469387755102041 that gives us our dark matter to ordinary matter energy ratio which is quite comparable to my system example above.

In this example we will break down.

Dark Matter 26.8%
Ordinary Matter 4.9%

Hardware of pc = 230w <--- Dark matter equivilent
Graphical display = 43w <--- Ordinary Matter equivilent",UCZn29FE5h9VFjBhEchRK6Bg,UgzLIt416_fOUsR9-Yt4AaABAg,https://www.youtube.com/watch?v=-GEZ95TJ5Ao&lc=UgzLIt416_fOUsR9-Yt4AaABAg
8,,@marcdeckard7064,"2023-06-20 18:48:46",0,no,no,"This is the first time I agree with him",UCnXl6jCXHam0HzYjCaFbp1g,Ugzl204FQpOHdB7ekrF4AaABAg,https://www.youtube.com/watch?v=-GEZ95TJ5Ao&lc=Ugzl204FQpOHdB7ekrF4AaABAg
9,,@learninganimate3181,"2023-06-22 10:00:34",0,no,no,"I feel like gavity can't be seen becouse its source come from a numer of dimension beyond the knowlegr",UCANuJuD1l0ZJLlvdKBqqyqw,UgxBagJiFrOrUy1r8Mp4AaABAg,https://www.youtube.com/watch?v=-GEZ95TJ5Ao&lc=UgxBagJiFrOrUy1r8Mp4AaABAg
10,,@Nomad_Druid,"2023-06-22 13:17:44",0,no,no,"What if there are some overlap points between universes? Like say, that one star that orbits, seemingly, nothing? Maybe it's orbiting another star, but in another universe that just happens to have a point of overlap with our own.",UC6OxrCO18gDEH3tQDRciOHA,UgxWuOXfkueXiVc8D-B4AaABAg,https://www.youtube.com/watch?v=-GEZ95TJ5Ao&lc=UgxWuOXfkueXiVc8D-B4AaABAg
11,,@AmanHouse,"2023-06-23 06:19:20",0,no,no,"No-one gonna win any Nobel prize from this comment section",UC57Lzzj_1E8kFUxlYvIMsvA,UgxQHsLFphniC62snA94AaABAg,https://www.youtube.com/watch?v=-GEZ95TJ5Ao&lc=UgxQHsLFphniC62snA94AaABAg
12,,@lisanloves,"2023-06-27 16:11:42",0,no,no,"Isn’t imagining a multiverse just another way to “make stuff up” to account for what we see in the universe? I’m not against using your imagination or thinking of possibilities, but imagining a multiverse is not more intelligent than trying to find other explanations that could fit a universe (as opposed to a multiverse). It seems like the multiverse is the atheist’s “God of the gaps”.",UCOOB_PzpKejKRX0jHQkbzjw,UgxW5hDvAoE6lYyrcyB4AaABAg,https://www.youtube.com/watch?v=-GEZ95TJ5Ao&lc=UgxW5hDvAoE6lYyrcyB4AaABAg
13,,@mack9181,"2023-06-28 17:06:16",0,no,no,Hmm,UCVJl5mUWVyI-0VRkIKLH_Sw,Ugx_NyJoSgTPT_4ySdB4AaABAg,https://www.youtube.com/watch?v=-GEZ95TJ5Ao&lc=Ugx_NyJoSgTPT_4ySdB4AaABAg
14,,@TKDMaster2020,"2023-06-30 02:58:14",0,no,no,"""Smooth And Hard""",UCrtpby0png_RRgGecWLmtHQ,Ugz7KjAsVmYx9tteogV4AaABAg,https://www.youtube.com/watch?v=-GEZ95TJ5Ao&lc=Ugz7KjAsVmYx9tteogV4AaABAg
15,,@pierrepigati8704,"2023-07-02 18:01:26",0,no,no,"Fantastic explanation 👍😄",UCGl8VmrdkO81FfgsmqPRBEQ,UgwjdCqRAN-7ace0Lg14AaABAg,https://www.youtube.com/watch?v=-GEZ95TJ5Ao&lc=UgwjdCqRAN-7ace0Lg14AaABAg
16,,@sosman5345,"2023-07-07 09:15:54",0,no,no,"Multiple universes is metaphisical",UCfyFmZhsPNrmu8QN5KaytIw,UgwLC7BUron_wPd80o14AaABAg,https://www.youtube.com/watch?v=-GEZ95TJ5Ao&lc=UgwLC7BUron_wPd80o14AaABAg
17,,@scottd.1700,"2023-07-13 01:39:27",1,no,no,"Exactly what I've been saying.

Imagine the universe as a flat plane like a big sheet, put another big sheet above that one and place a bowling ball on it, the sheet pushes down on ours and we see the folding of space but we never see the bowling ball.",UCvYh6113kgc8UqbbxjKa7Cg,Ugyw0YjJk896Er79Z8h4AaABAg,https://www.youtube.com/watch?v=-GEZ95TJ5Ao&lc=Ugyw0YjJk896Er79Z8h4AaABAg
18,,@xxamyyyox,"2023-07-14 16:23:16",0,no,no,"Ignore science because aliens are real because they told us so",UCWwPI9X6MR0LRR-6wcSxDpQ,UgxgBuE9tff3z49EUeh4AaABAg,https://www.youtube.com/watch?v=-GEZ95TJ5Ao&lc=UgxgBuE9tff3z49EUeh4AaABAg
19,,@paulmetrich87,"2023-07-18 00:53:39",0,no,no,"This is a new way to think about it it's called ELECTRIC UNIVERSE THEORY DARK MATTER DARK ENERGY BLACK HOLES DO NOT EXIST!!LET ME REPEAT THEY DO NOT EXIST!!!!!!!!!!!! BLACK HOLES ARE PLASMOIDS MOTORS THAT SPIN THE GALAXY!!!!!",UC8aOuDiKkPMy8JIgBXNhHSA,UgyuFBtJI6AablJrq354AaABAg,https://www.youtube.com/watch?v=-GEZ95TJ5Ao&lc=UgyuFBtJI6AablJrq354AaABAg
20,,@kelev48,"2023-07-21 07:33:15",0,no,no,"Maybe dark energy is god? Apparently there are 10 trillion dark energy particles in a square cm of earth.",UC_o-irFtLE4w5zJ4EOY1q3g,Ugz04cxFbc_XeH9e11Z4AaABAg,https://www.youtube.com/watch?v=-GEZ95TJ5Ao&lc=Ugz04cxFbc_XeH9e11Z4AaABAg
21,,@masterbelch1293,"2023-08-13 07:52:53",0,no,no,"Isn't this the same as looking at is mysteriously?",UCC-DdhN4R72517ktRak_BtA,UgwXyRGoPWuDLBpztyZ4AaABAg,https://www.youtube.com/watch?v=-GEZ95TJ5Ao&lc=UgwXyRGoPWuDLBpztyZ4AaABAg
22,,@davidsault9698,"2023-08-14 20:24:46",0,no,no,K.I.S.S.,UC0MEqExXrLou6O84zkSb2dw,UgyKomFgCh24XMcJZ_54AaABAg,https://www.youtube.com/watch?v=-GEZ95TJ5Ao&lc=UgyKomFgCh24XMcJZ_54AaABAg
23,,@swingtrades,"2023-08-18 19:04:58",0,no,no,"Best theory on dark matter I've seen so far. @",UC7fYYNwSh52NJzuqcoBz9ZQ,UgyIOdMhld08C_jJ79N4AaABAg,https://www.youtube.com/watch?v=-GEZ95TJ5Ao&lc=UgyIOdMhld08C_jJ79N4AaABAg
