,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
1,,@AstroKobi,"2023-05-30 12:52:20",1212,no,no,"You can read the paper here: https://arxiv.org/abs/2304.09140",UCdl3ece6ZfQwsiLbMnh2bCw,Ugwq__NWlrBw7Z5d9-J4AaABAg,https://www.youtube.com/watch?v=Qy8CqRGDqeQ&lc=Ugwq__NWlrBw7Z5d9-J4AaABAg
2,,@Sangsanga2_4,"2023-11-30 13:14:20",0,no,no,"Bro I have a Question:

Are you a Christian?",UCci5nXtKTvqFliXLYmyAMSA,UgwDoRHSWq0gcrzYgl94AaABAg,https://www.youtube.com/watch?v=Qy8CqRGDqeQ&lc=UgwDoRHSWq0gcrzYgl94AaABAg
3,,@Shiyam-eh3dj,"2023-12-01 06:49:15",1,no,no,"Quran 81:15-16
I swear by those that are invisible, that move, that sweep.",UCchUxhN9rGV6cUei-d3D3PQ,Ugy2cGERPKcpucqqPi94AaABAg,https://www.youtube.com/watch?v=Qy8CqRGDqeQ&lc=Ugy2cGERPKcpucqqPi94AaABAg
4,,@gideongannaban8824,"2023-12-02 10:56:38",0,no,no,"can someone plss tell me what is the song named plssssssss😭😭😭😭😭😭😭",UCUUQ-0gqvS8uwwsbYDrzsvg,UgxsxdnfgywrVQJWRwl4AaABAg,https://www.youtube.com/watch?v=Qy8CqRGDqeQ&lc=UgxsxdnfgywrVQJWRwl4AaABAg
5,,@unleashed78194,"2023-12-03 14:09:07",0,no,no,Uh,UC1cWqlSemxmKwDds_8chrpQ,UgyAuoL7pWTCldCq3Xl4AaABAg,https://www.youtube.com/watch?v=Qy8CqRGDqeQ&lc=UgyAuoL7pWTCldCq3Xl4AaABAg
6,,@Ganglifan,"2023-12-03 21:45:53",0,no,no,"Maybe a white hole?🤔",UCeWC7pCHTZz0oDj9FAV6NPQ,UgxE49tcVOAJr96XpwR4AaABAg,https://www.youtube.com/watch?v=Qy8CqRGDqeQ&lc=UgxE49tcVOAJr96XpwR4AaABAg
7,,@CourTooKnee,"2023-12-05 22:34:02",0,no,no,"Sounds like a black hole and a dark matter star are theoretically the same thing",UCQ8mI2DDzdBeLqXadGpmqoA,Ugyo2JmGajB4aPuwJmN4AaABAg,https://www.youtube.com/watch?v=Qy8CqRGDqeQ&lc=Ugyo2JmGajB4aPuwJmN4AaABAg
8,,@professionalretard9364,"2023-12-06 01:37:07",0,no,no,"space is the most interesting yet scary thing ever",UC-TXciV6KMYx4jWzduvX9tw,UgzKQt-FjcgOjsjbOeZ4AaABAg,https://www.youtube.com/watch?v=Qy8CqRGDqeQ&lc=UgzKQt-FjcgOjsjbOeZ4AaABAg
9,,@nishantkr5759,"2023-12-07 13:50:03",0,no,no,"Asian parents to their kids they score A+ instead of A++ : You are Nothing",UCcLmVHPJVN_MBuogX_onDTQ,UgzR0Mk0Gqu9YLu2UlJ4AaABAg,https://www.youtube.com/watch?v=Qy8CqRGDqeQ&lc=UgzR0Mk0Gqu9YLu2UlJ4AaABAg
10,,@KaiVennace,"2023-12-08 17:45:22",0,no,no,"Dark star eh? Kind of ironic",UClKBUwGkORFreIYlnoE6nmA,UgxWH31oA4tZr-EMK6t4AaABAg,https://www.youtube.com/watch?v=Qy8CqRGDqeQ&lc=UgxWH31oA4tZr-EMK6t4AaABAg
11,,@ThroughTheDarkTwilight,"2023-12-15 03:04:38",0,no,no,"it’s the dark star",UCegLGLFda179n1auVJRUQuw,Ugw-cVBTrBtgjF0M9314AaABAg,https://www.youtube.com/watch?v=Qy8CqRGDqeQ&lc=Ugw-cVBTrBtgjF0M9314AaABAg
12,,@9BallBory,"2023-12-16 06:54:13",0,no,no,"Dark matter isn’t “invisible” it just has no light hitting it for us to clearly see it.",UCn98gnPX-y94nG_PnGt2-qg,UgzRRaEv1s8eVZ3-61R4AaABAg,https://www.youtube.com/watch?v=Qy8CqRGDqeQ&lc=UgzRRaEv1s8eVZ3-61R4AaABAg
13,,@WarrenMG,"2023-12-16 07:39:54",0,no,no,"Now your saying black holes are dark matter",UCI0KTfhdAQonbXP_1wQL-9w,UgzAyn3kw8moxRTFapl4AaABAg,https://www.youtube.com/watch?v=Qy8CqRGDqeQ&lc=UgzAyn3kw8moxRTFapl4AaABAg
14,,@AmanRaj-mm9iw,"2023-12-17 06:26:10",0,no,no,"What if black hole is made of dark matter?
Like when a star dies they turn into dark matter",UCIeUnXHD6HWwUlmTVhDcGOw,Ugz1hlls4HwrC6pZKHt4AaABAg,https://www.youtube.com/watch?v=Qy8CqRGDqeQ&lc=Ugz1hlls4HwrC6pZKHt4AaABAg
15,,@foofgam220,"2023-12-21 15:30:29",0,no,no,"I wouldn't call it a Dark Matter Star, I'd call it a Dark Star because that's just cooler.",UCmxzd2eMDHDxvIihP8IQiSQ,Ugx9yDy3ZJC8CgiMDnF4AaABAg,https://www.youtube.com/watch?v=Qy8CqRGDqeQ&lc=Ugx9yDy3ZJC8CgiMDnF4AaABAg
16,,@M00nli6hting5tar5,"2023-12-21 18:42:07",0,no,no,"A black star",UCuq4YpDgQZ0-YSfgdMhE7hw,UgwK_4R1W1yrREH5QyN4AaABAg,https://www.youtube.com/watch?v=Qy8CqRGDqeQ&lc=UgwK_4R1W1yrREH5QyN4AaABAg
17,,@lilac3922,"2023-12-25 08:25:27",0,no,no,"question :we are two dimensional creatures right so is it why we can't see or identify it ? so is dark matter 4 dimensional",UC282WHG9UDflTiJd0q_wJWA,UgwwMY41uEDef5030at4AaABAg,https://www.youtube.com/watch?v=Qy8CqRGDqeQ&lc=UgwwMY41uEDef5030at4AaABAg
18,,@jamielishbrook2384,"2023-12-27 08:11:39",0,no,no,"So cool",UCaoWk_x7NYdRkuN_4xs39Lg,UgyZhr18QICkQfkYt9p4AaABAg,https://www.youtube.com/watch?v=Qy8CqRGDqeQ&lc=UgyZhr18QICkQfkYt9p4AaABAg
19,,@kj.rockzz6761,"2023-12-27 13:40:06",0,no,no,"As soon as you know..? 😂🤣🤣",UCknzoe7Ckxwd2FzI0UUpPyw,UgzG0l-G6IIPP1-fOEB4AaABAg,https://www.youtube.com/watch?v=Qy8CqRGDqeQ&lc=UgzG0l-G6IIPP1-fOEB4AaABAg
20,,@Lethallime1234,"2023-12-29 16:19:49",0,no,no,"Finally this guy tells something i don't know",UCpQaHvTmpw1_NFjtiWy09VQ,Ugxz3mXkIlcAjjyXxAt4AaABAg,https://www.youtube.com/watch?v=Qy8CqRGDqeQ&lc=Ugxz3mXkIlcAjjyXxAt4AaABAg
21,,@johnbeal839,"2023-12-29 17:26:59",0,no,no,"My hunch is it’s a non super massive black hole. My hunch about dark matter is that it’s literally regular matter that doesn’t orbit a star, and therefore, literally in the dark. There couldn’t be a more appropriate term for it.",UC-Nzy1fZzxhaKVLGz79Q03A,UgxRJAkJ8t2ZSZCSvlF4AaABAg,https://www.youtube.com/watch?v=Qy8CqRGDqeQ&lc=UgxRJAkJ8t2ZSZCSvlF4AaABAg
22,,@User-ew9bd,"2023-12-31 08:45:14",1,no,no,"Bosan star",UC0Hi3w4GPoQxNSRz4sTIz9w,Ugwzggl-4A7M92mPShN4AaABAg,https://www.youtube.com/watch?v=Qy8CqRGDqeQ&lc=Ugwzggl-4A7M92mPShN4AaABAg
23,,@ShadowKnight-hn3bt,"2023-12-31 18:06:04",1,no,no,"The thing is when he said I will update you when we know more I never see the video he’s speaking of",UCG7RdfdtkDX9CV028DFUZwA,Ugxf17O2yEbw2bl8NHh4AaABAg,https://www.youtube.com/watch?v=Qy8CqRGDqeQ&lc=Ugxf17O2yEbw2bl8NHh4AaABAg
24,,@MonkeChief,"2023-12-31 21:55:49",0,no,no,"I thought dark matter was the opposite of matter, and that instead of pulling other matter towards it, it pulls it away?",UCSZYcbssWR6dx1q-EQh38Fw,UgwxVyY6ZJRR7g0zIul4AaABAg,https://www.youtube.com/watch?v=Qy8CqRGDqeQ&lc=UgwxVyY6ZJRR7g0zIul4AaABAg
25,,@prakashgovindwar7004,"2024-01-02 15:43:26",0,no,no,"Good very nice",UCY6Bjv0p9DWCYZDZBVmMhtA,UgzshrdiAMq4dYTumqx4AaABAg,https://www.youtube.com/watch?v=Qy8CqRGDqeQ&lc=UgzshrdiAMq4dYTumqx4AaABAg
26,,@DioBrando-un2yv,"2024-01-02 19:11:40",0,no,no,"Imagine finally achieving your dream as an astronaut then you just pop out of existence after 3 seconds in space",UCCCrZmRI_LjaoBjLH_JYOGg,UgzAhC1acCkRaEDuAH54AaABAg,https://www.youtube.com/watch?v=Qy8CqRGDqeQ&lc=UgzAhC1acCkRaEDuAH54AaABAg
27,,@Saedris,"2024-01-04 04:18:55",0,no,no,"I dont think black matter exists, its just a combination of gravity and gasses. Im not ignorant enough to dismiss the possibility though... It just seems more likely that the star is being pulled by a giant planet in its system",UCwnLVMVPnliqDy4pG8-zQGw,UgzWH3HofZJlKyfvhiN4AaABAg,https://www.youtube.com/watch?v=Qy8CqRGDqeQ&lc=UgzWH3HofZJlKyfvhiN4AaABAg
28,,@Peonas501,"2024-01-04 09:54:59",0,no,no,"Dark matter doesn't like to clump, I would rather call it dark gravity instead of dark matter",UCgOJikRBi08xuaj8vjHJ_IQ,UgzBdhUDk0R0VqKnepB4AaABAg,https://www.youtube.com/watch?v=Qy8CqRGDqeQ&lc=UgzBdhUDk0R0VqKnepB4AaABAg
