Exported by,ExportComments.com,,,,,,,
Source URL,https://youtube.com/shorts/PVbGO_SdyPs?si=dUapxM6k3Vh_lMGO,,,,,,,
Timezone,,,,,,,,
,,,,,,,,
Some Comments may not appear here because of their privacy settings,,,,,,,,
,,,,,,,,
,,Name (click to view profile),Date,Likes,isHearted,isPinned,Comment,(view source)
51,,@roshanjeepadhi3815,17/06/23 20:15:22,0,no,no,Funny thing how your content is very similar to Astrokobi,view comment
52,,@vasuki_indian_tanker2566,18/06/23 00:06:28,3,no,no,"dark matter 23% hein approx , dark energy more approx 70% hote hein universe or galaxies me .",view comment
53,,@Kingstersreejit,18/06/23 03:31:42,0,no,no,Dark matter doesn't make black hole idiot it's collapsing stars which dies either becomes nutron stars or supernova and forms a black hole,view comment
54,,@Arete54,18/06/23 04:06:20,0,no,no,"You have very good content and a beautiful voice. But i woild like to see real photos instead of creative art. 
Hope that helps escalate your growth.??",view comment
55,,@loveyouyarro,18/06/23 04:44:31,1,no,no,Only life is true understand it first than understand The universe.,view comment
56,,@Therohitdubey,18/06/23 06:23:59,0,no,no,"Astronaut 
????

Aap science ki samaj rakte hai kya..???

Padho ja ke pehle..",view comment
57,,@SpiderMan-ei6km,18/06/23 07:42:58,0,no,no,hey you are stolen @AstroKobi videos. Chori mat karo kisi ka videos.. Fake channel.,view comment
58,,@SantoshKumar-ui6gm,18/06/23 07:45:17,2,no,no,full video banaiye please,view comment
59,,@sonusukla5654,18/06/23 11:07:22,0,no,no,"?????? ?? ???? ?????, ?????? ?????? ????? ???? ?? ????? ??? ???? ???,,",view comment
60,,@paulsenglish7797,18/06/23 11:46:13,0,no,no,"U din not give answer ,star is moving to around what .",view comment
61,,@gappakatinga942,18/06/23 11:46:21,0,no,no,????? ??? ?????? ?? ????? ???? ????? ??? ??? ???? ??...... ?? ?? ?? ??????? ????? ?????????? ??? ??????? ???,view comment
62,,@IamSoangelic,18/06/23 13:09:35,0,no,no,Astronauts esaa manye hai scientist ???,view comment
63,,@amazingvideo8218,18/06/23 13:48:06,0,no,no,Fayda hua hai kya tum dil mein se koi fayda nahin hota,view comment
